https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume ENJ,Volume BRL,tradecount
1664582400000,2022-10-01,ENJBRL,2.437,2.457,2.416,2.424,3060.7,7447.5288,39
1664496000000,2022-09-30,ENJBRL,2.482,2.508,2.426,2.436,17358.2,42796.7529,142
1664409600000,2022-09-29,ENJBRL,2.474,2.49,2.434,2.49,14880.3,36616.4956,114
1664323200000,2022-09-28,ENJBRL,2.474,2.49,2.377,2.459,18017.9,43771.8024,150
1664236800000,2022-09-27,ENJBRL,2.481,2.563,2.434,2.466,27001.3,67692.739,204
1664150400000,2022-09-26,ENJBRL,2.391,2.477,2.341,2.474,27544.3,66639.7234,187
1664064000000,2022-09-25,ENJBRL,2.447,2.479,2.38,2.399,21823.2,52984.6111,134
1663977600000,2022-09-24,ENJBRL,2.527,2.543,2.439,2.451,31857.3,79828.9428,183
1663891200000,2022-09-23,ENJBRL,2.487,2.551,2.415,2.525,40802.9,101156.458,284
1663804800000,2022-09-22,ENJBRL,2.375,2.495,2.363,2.479,28500.1,69739.6098,198
1663718400000,2022-09-21,ENJBRL,2.456,2.554,2.343,2.363,54452.2,133449.4494,344
1663632000000,2022-09-20,ENJBRL,2.526,2.544,2.442,2.462,48350.7,120326.3338,240
1663545600000,2022-09-19,ENJBRL,2.468,2.556,2.415,2.521,26825.1,66510.2686,122
1663459200000,2022-09-18,ENJBRL,2.706,2.73,2.436,2.476,65091.2,165461.7168,296
1663372800000,2022-09-17,ENJBRL,2.63,2.715,2.624,2.715,10226.8,27230.1863,77
1663286400000,2022-09-16,ENJBRL,2.572,2.649,2.548,2.622,29943.4,77851.4479,218
1663200000000,2022-09-15,ENJBRL,2.644,2.644,2.518,2.58,49971.0,128848.4426,335
1663113600000,2022-09-14,ENJBRL,2.564,2.652,2.541,2.645,28167.4,73260.7731,213
1663027200000,2022-09-13,ENJBRL,2.758,2.797,2.547,2.569,58724.0,155664.3494,370
1662940800000,2022-09-12,ENJBRL,2.799,2.908,2.736,2.761,53770.9,152587.6129,329
1662854400000,2022-09-11,ENJBRL,2.835,2.889,2.745,2.808,25594.8,72031.4877,197
1662768000000,2022-09-10,ENJBRL,2.836,2.864,2.776,2.826,39838.7,112358.7155,233
1662681600000,2022-09-09,ENJBRL,2.747,2.864,2.747,2.828,69432.4,194282.8238,378
1662595200000,2022-09-08,ENJBRL,2.743,2.79,2.644,2.74,31779.0,86237.0188,304
1662508800000,2022-09-07,ENJBRL,2.528,2.754,2.49,2.734,68452.9,180910.5469,259
1662422400000,2022-09-06,ENJBRL,2.763,2.835,2.531,2.531,56996.2,152675.05,335
1662336000000,2022-09-05,ENJBRL,2.788,2.82,2.69,2.756,17490.6,48157.6564,128
1662249600000,2022-09-04,ENJBRL,2.709,2.799,2.7,2.783,17287.6,47625.6809,137
1662163200000,2022-09-03,ENJBRL,2.646,2.718,2.61,2.7,10619.6,28399.1213,73
1662076800000,2022-09-02,ENJBRL,2.709,2.754,2.608,2.645,16329.0,44080.9528,135
1661990400000,2022-09-01,ENJBRL,2.677,2.709,2.565,2.709,29548.0,77834.8195,194
1661904000000,2022-08-31,ENJBRL,2.655,2.741,2.655,2.676,31162.3,84181.5623,178
1661817600000,2022-08-30,ENJBRL,2.66,2.709,2.568,2.647,21324.9,56412.0534,174
1661731200000,2022-08-29,ENJBRL,2.509,2.669,2.485,2.669,22609.6,58434.2462,182
1661644800000,2022-08-28,ENJBRL,2.599,2.653,2.493,2.501,15427.6,39862.9551,145
1661558400000,2022-08-27,ENJBRL,2.59,2.633,2.55,2.602,17980.3,46677.9593,132
1661472000000,2022-08-26,ENJBRL,2.927,2.96,2.568,2.592,981456.2,2776006.9362,641
