https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume MATIC,Volume BRL,tradecount
1652486400000,2022-05-14,MATICBRL,3.4,3.629,3.164,3.498,143296.0,483829.92,961
1652400000000,2022-05-13,MATICBRL,3.115,3.87,3.062,3.393,402190.9,1435619.3311,1953
1652313600000,2022-05-12,MATICBRL,3.501,3.841,2.492,3.123,735707.75,2222319.0458,3149
1652227200000,2022-05-11,MATICBRL,4.617,4.714,3.15,3.478,845179.51,3281214.25987,3714
1652140800000,2022-05-10,MATICBRL,4.229,5.119,4.14,4.601,354012.2,1657509.8268,1874
1652054400000,2022-05-09,MATICBRL,5.007,5.081,4.08,4.224,176720.0,793152.5325,1543
1651968000000,2022-05-08,MATICBRL,5.227,5.267,4.932,5.001,58227.8,294763.5216,906
1651881600000,2022-05-07,MATICBRL,5.324,5.44,5.09,5.217,88414.3,470063.8443,1033
1651795200000,2022-05-06,MATICBRL,5.374,5.445,5.162,5.33,119614.1,637907.3199,1246
1651708800000,2022-05-05,MATICBRL,5.788,5.845,5.221,5.383,172506.1,955472.3879,1633
1651622400000,2022-05-04,MATICBRL,5.364,5.79,5.355,5.782,115445.2,640855.0772,1433
1651536000000,2022-05-03,MATICBRL,5.462,5.638,5.273,5.371,112141.5,613474.0474,1416
1651449600000,2022-05-02,MATICBRL,5.499,5.597,5.272,5.463,117965.4,641989.5658,1382
1651363200000,2022-05-01,MATICBRL,5.233,5.634,5.085,5.492,145220.9,788077.4148,1301
1651276800000,2022-04-30,MATICBRL,5.696,5.823,5.083,5.192,129992.7,712439.7887,1582
1651190400000,2022-04-29,MATICBRL,6.156,6.197,5.634,5.69,154227.2,904790.8811,1765
1651104000000,2022-04-28,MATICBRL,6.259,6.351,6.105,6.158,101659.7,633445.1218,1270
1651017600000,2022-04-27,MATICBRL,6.26,6.484,6.206,6.28,78502.9,495656.7983,1335
1650931200000,2022-04-26,MATICBRL,6.62,6.659,6.159,6.272,122056.8,786633.8567,1456
1650844800000,2022-04-25,MATICBRL,6.495,6.635,6.128,6.618,112465.7,716937.9265,1304
1650758400000,2022-04-24,MATICBRL,6.623,6.638,6.439,6.494,38086.3,248699.1718,651
1650672000000,2022-04-23,MATICBRL,6.741,6.811,6.493,6.595,62969.2,419674.9931,782
1650585600000,2022-04-22,MATICBRL,6.405,7.105,6.4,6.741,165828.2,1130877.2062,1360
1650499200000,2022-04-21,MATICBRL,6.594,6.824,6.337,6.424,60931.2,404662.3905,911
1650412800000,2022-04-20,MATICBRL,6.695,6.886,6.492,6.597,120580.9,808860.2869,1261
1650326400000,2022-04-19,MATICBRL,6.634,6.804,6.521,6.711,114390.6,761944.3443,1304
1650240000000,2022-04-18,MATICBRL,6.349,6.68,6.15,6.641,128478.1,822588.7926,1200
1650153600000,2022-04-17,MATICBRL,6.584,6.597,6.324,6.35,27168.8,176868.3665,681
1650067200000,2022-04-16,MATICBRL,6.628,6.647,6.474,6.599,44641.5,293945.3426,743
1649980800000,2022-04-15,MATICBRL,6.505,6.641,6.489,6.633,28549.9,187677.3931,809
1649894400000,2022-04-14,MATICBRL,6.707,6.814,6.4,6.505,50198.6,329918.7233,970
1649808000000,2022-04-13,MATICBRL,6.569,6.759,6.431,6.708,53944.7,358655.2318,1010
1649721600000,2022-04-12,MATICBRL,6.347,6.889,6.29,6.568,86734.3,571221.5591,1181
1649635200000,2022-04-11,MATICBRL,6.76,6.824,6.233,6.328,84150.8,542714.782,1330
1649548800000,2022-04-10,MATICBRL,6.95,7.067,6.75,6.75,42476.8,294954.765,828
1649462400000,2022-04-09,MATICBRL,6.804,6.96,6.779,6.957,41109.4,282508.6716,823
1649376000000,2022-04-08,MATICBRL,7.245,7.312,6.757,6.8,70524.3,497863.8918,973
1649289600000,2022-04-07,MATICBRL,6.942,7.28,6.845,7.245,85262.6,602521.2187,1149
