https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume ADA,Volume BRL,tradecount
1692748800000,2023-08-23,ADABRL,1.283,1.32,1.28,1.313,177104.0,230206.9992,660
1692662400000,2023-08-22,ADABRL,1.315,1.322,1.241,1.285,428282.2,546587.6895,1240
1692576000000,2023-08-21,ADABRL,1.363,1.371,1.304,1.315,163944.0,218555.271,734
1692489600000,2023-08-20,ADABRL,1.353,1.375,1.333,1.36,108393.4,146586.8156,587
1692403200000,2023-08-19,ADABRL,1.322,1.355,1.31,1.353,124029.7,165699.6225,615
1692316800000,2023-08-18,ADABRL,1.289,1.349,1.28,1.325,331436.1,436700.4432,1347
1692230400000,2023-08-17,ADABRL,1.376,1.398,1.201,1.292,502769.4,660923.6684,1539
1692144000000,2023-08-16,ADABRL,1.409,1.416,1.331,1.376,291912.1,401895.0946,1118
1692057600000,2023-08-15,ADABRL,1.443,1.455,1.381,1.41,266655.7,379477.6032,1002
1691971200000,2023-08-14,ADABRL,1.429,1.7,1.42,1.444,662470.0,1014361.6071,960
1691884800000,2023-08-13,ADABRL,1.439,1.451,1.418,1.431,97211.9,139585.907,505
1691798400000,2023-08-12,ADABRL,1.442,1.452,1.433,1.438,116794.7,168694.5137,650
1691712000000,2023-08-11,ADABRL,1.454,1.46,1.436,1.442,125478.2,181529.3408,721
1691625600000,2023-08-10,ADABRL,1.486,1.487,1.446,1.452,151743.4,221694.2961,752
1691539200000,2023-08-09,ADABRL,1.462,1.49,1.455,1.485,177873.9,261667.2195,749
1691452800000,2023-08-08,ADABRL,1.429,1.484,1.42,1.462,276472.5,402167.8406,1018
1691366400000,2023-08-07,ADABRL,1.434,1.45,1.392,1.427,233841.6,333320.6814,917
1691280000000,2023-08-06,ADABRL,1.442,1.451,1.428,1.433,123973.2,178385.119,497
1691193600000,2023-08-05,ADABRL,1.441,1.445,1.426,1.443,151759.4,217736.7402,706
1691107200000,2023-08-04,ADABRL,1.439,1.459,1.422,1.441,251727.8,362711.6867,1021
1691020800000,2023-08-03,ADABRL,1.448,1.463,1.418,1.44,286452.6,413466.5247,1073
1690934400000,2023-08-02,ADABRL,1.491,1.5,1.444,1.448,340294.7,500133.2809,1153
1690848000000,2023-08-01,ADABRL,1.463,1.492,1.406,1.492,354183.0,516128.0167,1293
1690761600000,2023-07-31,ADABRL,1.509,1.526,1.461,1.464,379862.5,564619.0212,1213
1690675200000,2023-07-30,ADABRL,1.493,1.52,1.464,1.509,144333.9,216043.9914,785
1690588800000,2023-07-29,ADABRL,1.481,1.502,1.476,1.496,203698.0,302950.1692,795
1690502400000,2023-07-28,ADABRL,1.469,1.492,1.465,1.476,177330.2,262649.6099,925
1690416000000,2023-07-27,ADABRL,1.463,1.493,1.453,1.47,246461.0,362489.6888,1066
1690329600000,2023-07-26,ADABRL,1.453,1.481,1.436,1.462,235217.2,342241.9527,1032
1690243200000,2023-07-25,ADABRL,1.456,1.469,1.44,1.454,187832.4,272614.6777,987
1690156800000,2023-07-24,ADABRL,1.53,1.538,1.43,1.456,422949.4,619848.1326,1704
1690070400000,2023-07-23,ADABRL,1.497,1.537,1.484,1.53,146759.3,223145.4554,744
1689984000000,2023-07-22,ADABRL,1.507,1.515,1.48,1.496,215646.2,324187.0893,891
1689897600000,2023-07-21,ADABRL,1.523,1.535,1.498,1.506,330453.3,499263.3275,1263
1689811200000,2023-07-20,ADABRL,1.559,1.604,1.509,1.522,370889.0,576506.8403,1471
1689724800000,2023-07-19,ADABRL,1.486,1.571,1.484,1.556,315695.2,485420.0806,1099
1689638400000,2023-07-18,ADABRL,1.509,1.519,1.452,1.489,213481.7,315595.2243,955
1689552000000,2023-07-17,ADABRL,1.518,1.54,1.477,1.51,266470.4,402981.063,970
1689465600000,2023-07-16,ADABRL,1.578,1.587,1.511,1.52,176130.3,271872.6637,657
1689379200000,2023-07-15,ADABRL,1.579,1.63,1.567,1.578,170935.4,272522.1338,727
1689292800000,2023-07-14,ADABRL,1.718,1.819,1.529,1.588,1394819.5,2417406.5279,2878
1689206400000,2023-07-13,ADABRL,1.402,1.762,1.388,1.712,2587302.0,4176061.6797,4607
1689120000000,2023-07-12,ADABRL,1.431,1.443,1.384,1.402,325257.0,458043.9874,850
1689033600000,2023-07-11,ADABRL,1.407,1.438,1.406,1.43,270699.5,385820.4966,703
1688947200000,2023-07-10,ADABRL,1.4,1.43,1.369,1.406,324350.8,455885.6365,855
1688860800000,2023-07-09,ADABRL,1.43,1.434,1.393,1.4,147721.8,208263.8022,457
1688774400000,2023-07-08,ADABRL,1.397,1.442,1.382,1.429,170522.4,241319.2592,560
1688688000000,2023-07-07,ADABRL,1.374,1.404,1.364,1.393,272334.7,377980.9091,742
1688601600000,2023-07-06,ADABRL,1.376,1.427,1.359,1.373,399903.4,559562.9206,971
1688515200000,2023-07-05,ADABRL,1.425,1.437,1.369,1.383,388949.1,542730.7279,898
1688428800000,2023-07-04,ADABRL,1.427,1.45,1.409,1.442,339729.3,484901.5929,852
1688342400000,2023-07-03,ADABRL,1.408,1.45,1.398,1.426,296085.8,420962.8054,959
1688256000000,2023-07-02,ADABRL,1.41,1.418,1.378,1.41,175932.6,246707.0935,556
1688169600000,2023-07-01,ADABRL,1.383,1.416,1.358,1.41,202278.4,281745.2795,641
1688083200000,2023-06-30,ADABRL,1.343,1.48,1.302,1.383,777214.1,1074522.0965,1700
1687996800000,2023-06-29,ADABRL,1.306,1.355,1.299,1.343,218923.5,291798.8651,663
1687910400000,2023-06-28,ADABRL,1.385,1.385,1.269,1.303,331448.8,439665.0059,1004
