https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume XRP,Volume BRL,tradecount
1646524800000,2022-03-06,XRPBRL,3.854,3.879,3.693,3.713,383820.0,1454535.553,1716
1646438400000,2022-03-05,XRPBRL,3.638,3.935,3.605,3.854,571495.0,2184380.188,1689
1646352000000,2022-03-04,XRPBRL,3.802,3.814,3.562,3.638,733082.0,2727266.817,2622
1646265600000,2022-03-03,XRPBRL,3.94,4.039,3.737,3.803,535335.0,2067168.671,1408
1646179200000,2022-03-02,XRPBRL,4.033,4.033,3.899,3.94,445728.0,1764514.411,1603
1646092800000,2022-03-01,XRPBRL,4.03,4.143,3.9,4.037,630749.0,2536027.876,2054
1646006400000,2022-02-28,XRPBRL,3.757,4.089,3.689,4.03,554599.0,2157806.647,1854
1645920000000,2022-02-27,XRPBRL,3.896,3.988,3.671,3.765,687478.0,2619347.808,1850
1645833600000,2022-02-26,XRPBRL,4.0,4.126,3.852,3.907,1194574.0,4777566.83,3023
1645747200000,2022-02-25,XRPBRL,3.593,4.054,3.522,3.999,1165873.0,4365309.487,3032
1645660800000,2022-02-24,XRPBRL,3.51,3.69,3.13,3.587,2421873.0,8119348.806,5583
1645574400000,2022-02-23,XRPBRL,3.683,3.783,3.508,3.513,547502.0,2003513.403,1894
1645488000000,2022-02-22,XRPBRL,3.628,3.713,3.461,3.682,942341.0,3372100.178,2851
1645401600000,2022-02-21,XRPBRL,4.043,4.16,3.589,3.621,1337682.0,5251033.462,3092
1645315200000,2022-02-20,XRPBRL,4.271,4.271,3.976,4.031,785258.0,3212116.762,2020
1645228800000,2022-02-19,XRPBRL,4.067,4.43,3.996,4.267,949043.0,4013786.564,2765
1645142400000,2022-02-18,XRPBRL,4.011,4.199,3.913,4.071,879362.0,3551409.326,2136
1645056000000,2022-02-17,XRPBRL,4.322,4.365,3.936,4.008,674685.0,2786099.436,2211
1644969600000,2022-02-16,XRPBRL,4.402,4.405,4.211,4.312,389777.0,1676808.391,1349
