https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume SHIB,Volume BRL,tradecount
1646784000000,2022-03-09,SHIBBRL,0.0001169,0.00012463,0.00011674,0.0001202,49129597051.0,5946999.58663244,7319
1646697600000,2022-03-08,SHIBBRL,0.00011737,0.00012066,0.00011497,0.00011689,29164878814.0,3439164.65114428,5633
1646611200000,2022-03-07,SHIBBRL,0.00012041,0.00012122,0.0001137,0.0001172,57509970584.0,6792816.41059628,7398
1646524800000,2022-03-06,SHIBBRL,0.00012592,0.0001267,0.00011986,0.00012041,22924869945.0,2811748.5463931,4528
1646438400000,2022-03-05,SHIBBRL,0.00012033,0.00012795,0.00011841,0.00012592,36935961148.0,4585002.08717356,6401
1646352000000,2022-03-04,SHIBBRL,0.00012691,0.00012822,0.00011807,0.00012038,62791250534.0,7775140.33834693,7944
1646265600000,2022-03-03,SHIBBRL,0.00013281,0.00013416,0.00012457,0.00012692,47103164597.0,6042660.45658776,7479
1646179200000,2022-03-02,SHIBBRL,0.00013969,0.0001399,0.00013122,0.00013281,64096739634.0,8689738.54178814,9836
1646092800000,2022-03-01,SHIBBRL,0.000133,0.00014754,0.00013035,0.00013965,100501113348.0,13831136.82395744,12979
1646006400000,2022-02-28,SHIBBRL,0.00012203,0.000134,0.00011889,0.000133,65115162871.0,8328535.65862171,9487
1645920000000,2022-02-27,SHIBBRL,0.00012703,0.0001299,0.00012009,0.00012206,44616743226.0,5562389.35468196,7682
1645833600000,2022-02-26,SHIBBRL,0.00012919,0.00013415,0.00012575,0.00012701,46845089041.0,6055123.20900305,8564
1645747200000,2022-02-25,SHIBBRL,0.0001233,0.00013023,0.00011882,0.00012932,73988274173.0,9300555.72262023,11759
1645660800000,2022-02-24,SHIBBRL,0.00012547,0.0001295,0.0001045,0.00012306,129839519902.0,15163050.74329545,19019
1645574400000,2022-02-23,SHIBBRL,0.00012752,0.00013925,0.00012531,0.00012551,66813399209.0,8809789.89734418,12186
1645488000000,2022-02-22,SHIBBRL,0.00012406,0.00012859,0.00011928,0.00012754,57263538399.0,7153464.8292301,11570
1645401600000,2022-02-21,SHIBBRL,0.00013232,0.000143,0.00012356,0.00012406,68804778597.0,9291805.24535747,12407
1645315200000,2022-02-20,SHIBBRL,0.00014264,0.00014323,0.00012928,0.00013232,42478094866.0,5667361.73314497,9256
1645228800000,2022-02-19,SHIBBRL,0.00014576,0.00015003,0.00013987,0.00014255,32708175019.0,4721849.88283404,7463
1645142400000,2022-02-18,SHIBBRL,0.00014734,0.00015619,0.00014379,0.00014576,38112010110.0,5671276.45097678,8779
1645056000000,2022-02-17,SHIBBRL,0.00015966,0.00016805,0.00014451,0.00014716,62162125081.0,9708446.81653571,12704
1644969600000,2022-02-16,SHIBBRL,0.00016209,0.00016316,0.00015555,0.00015961,37930580684.0,6033146.5853344,10193
1644883200000,2022-02-15,SHIBBRL,0.00015529,0.00016647,0.00015512,0.00016211,52050921228.0,8407664.58677422,12139
1644796800000,2022-02-14,SHIBBRL,0.00015956,0.0001634,0.00015168,0.00015528,45326524810.0,7106702.38089398,10579
1644710400000,2022-02-13,SHIBBRL,0.00015443,0.00017072,0.0001504,0.00015947,60681352235.0,9851212.06694511,12420
1644624000000,2022-02-12,SHIBBRL,0.0001519,0.00015814,0.00014522,0.00015416,50181148843.0,7658380.30174515,11106
1644537600000,2022-02-11,SHIBBRL,0.0001627,0.00016998,0.00014791,0.00015191,61590757971.0,9850553.4567244,15281
1644451200000,2022-02-10,SHIBBRL,0.00017368,0.00017731,0.00016129,0.00016266,77085360143.0,13028438.97152377,17894
1644364800000,2022-02-09,SHIBBRL,0.00016453,0.00018079,0.00016152,0.00017386,121584029113.0,21038263.15539062,23642
1644278400000,2022-02-08,SHIBBRL,0.00017288,0.00018551,0.00015625,0.00016427,157691242344.0,26775729.28280478,32864
1644192000000,2022-02-07,SHIBBRL,0.00015287,0.0001876,0.00014512,0.00017274,227072126273.0,38284753.05626808,44081
1644105600000,2022-02-06,SHIBBRL,0.00012096,0.00015458,0.00011955,0.0001525,113346866354.0,16086722.2762033,16412
1644019200000,2022-02-05,SHIBBRL,0.0001189,0.00012781,0.00011808,0.00012096,48734282895.0,5988397.72846774,9943
1643932800000,2022-02-04,SHIBBRL,0.00011056,0.00011947,0.00010945,0.0001189,26205948543.0,3009741.6513532,7780
1643846400000,2022-02-03,SHIBBRL,0.00010948,0.0001109,0.00010743,0.00011055,18307903550.0,2004051.68820012,5423
1643760000000,2022-02-02,SHIBBRL,0.00011518,0.00011627,0.00010759,0.0001095,35333541920.0,4001595.21433847,6816
1643673600000,2022-02-01,SHIBBRL,0.00011443,0.0001173,0.00011294,0.00011521,20080229404.0,2314695.94115132,6484
1643587200000,2022-01-31,SHIBBRL,0.0001148,0.00011499,0.00010924,0.00011444,22464180524.0,2542262.96155089,5786
1643500800000,2022-01-30,SHIBBRL,0.00011754,0.00012024,0.00011335,0.00011473,27338297178.0,3196573.84518402,5731
1643414400000,2022-01-29,SHIBBRL,0.000115,0.000121,0.00011441,0.00011759,31927141637.0,3747435.65135544,6867
1643328000000,2022-01-28,SHIBBRL,0.00011597,0.00011677,0.00011093,0.00011518,34834792367.0,3957921.82176481,6801
1643241600000,2022-01-27,SHIBBRL,0.00011596,0.00011903,0.00010991,0.00011607,54385364702.0,6239527.10141981,7905
1643155200000,2022-01-26,SHIBBRL,0.00011589,0.00012816,0.0001128,0.00011594,53040999349.0,6362131.19712869,11060
1643068800000,2022-01-25,SHIBBRL,0.00011777,0.00011983,0.00011162,0.00011587,42937249351.0,4988842.46754982,9512
1642982400000,2022-01-24,SHIBBRL,0.00012414,0.00012769,0.00010334,0.00011751,90285015737.0,10343037.15183578,14256
1642896000000,2022-01-23,SHIBBRL,0.00011357,0.00013094,0.00011298,0.00012412,94942801328.0,11645702.01016339,15087
1642809600000,2022-01-22,SHIBBRL,0.00012262,0.00012411,9.397e-05,0.00011329,128558639979.0,13946424.1802287,19896
1642723200000,2022-01-21,SHIBBRL,0.00014497,0.00014721,0.00011958,0.00012275,51145277570.0,6754796.0304963,13815
1642636800000,2022-01-20,SHIBBRL,0.00015033,0.00015724,0.00014376,0.00014497,21767687388.0,3307727.904053,8800
1642550400000,2022-01-19,SHIBBRL,0.0001575,0.00015844,0.00014978,0.00015034,21044237584.0,3246786.5354024,7766
1642464000000,2022-01-18,SHIBBRL,0.00016054,0.00016435,0.00015313,0.00015746,25239406573.0,3967862.20784689,7939
1642377600000,2022-01-17,SHIBBRL,0.00017051,0.00017089,0.00015752,0.00016056,26325816873.0,4265079.24108078,8161
1642291200000,2022-01-16,SHIBBRL,0.0001724,0.00017337,0.00016813,0.00017051,15279437449.0,2602637.06546005,6141
1642204800000,2022-01-15,SHIBBRL,0.00017235,0.00017591,0.00017043,0.00017243,18256070674.0,3161146.93770901,6812
1642118400000,2022-01-14,SHIBBRL,0.00016561,0.00018146,0.0001638,0.00017172,38432969776.0,6651111.65688806,10539
1642032000000,2022-01-13,SHIBBRL,0.00017551,0.00018355,0.0001632,0.00016554,39217770522.0,6810766.88092972,12279
1641945600000,2022-01-12,SHIBBRL,0.00015576,0.00018225,0.00015521,0.0001761,51573540569.0,8883615.69908849,14282
1641859200000,2022-01-11,SHIBBRL,0.0001524,0.00015968,0.00015035,0.00015578,28859885929.0,4475869.6456086,8875
1641772800000,2022-01-10,SHIBBRL,0.00016111,0.00016354,0.00014542,0.00015245,30692301216.0,4716956.65011398,9739
1641686400000,2022-01-09,SHIBBRL,0.00015833,0.00016587,0.00015702,0.00016115,19620009580.0,3177549.98568944,7713
1641600000000,2022-01-08,SHIBBRL,0.00016519,0.00017019,0.00015091,0.00015819,32438759525.0,5224952.71118756,10687
1641513600000,2022-01-07,SHIBBRL,0.00017654,0.00017707,0.0001625,0.000165,30594225692.0,5142155.05038525,11949
1641427200000,2022-01-06,SHIBBRL,0.00017535,0.00018205,0.0001684,0.00017653,33600425792.0,5833322.54780601,12287
1641340800000,2022-01-05,SHIBBRL,0.00018539,0.00018806,0.00016581,0.00017515,41256362074.0,7389739.26425886,13227
1641254400000,2022-01-04,SHIBBRL,0.00018824,0.00019035,0.00018452,0.00018547,17546772672.0,3291057.32976702,9172
1641168000000,2022-01-03,SHIBBRL,0.00019173,0.000193,0.00018288,0.00018818,27225899520.0,5164358.451171,9298
1641081600000,2022-01-02,SHIBBRL,0.00019244,0.000194,0.00018861,0.00019172,18844493701.0,3608632.73170982,7777
1640995200000,2022-01-01,SHIBBRL,0.00018825,0.00019252,0.00018766,0.00019244,16778904030.0,3196893.507335,5935
1640908800000,2021-12-31,SHIBBRL,0.0001904,0.00019457,0.00018,0.00018817,43746163699.0,8251947.13726377,9464
1640822400000,2021-12-30,SHIBBRL,0.00019334,0.0001971,0.00018775,0.00019045,29306405341.0,5641368.41774954,10847
1640736000000,2021-12-29,SHIBBRL,0.00019866,0.00020608,0.00019023,0.00019336,36903694078.0,7283851.77680914,13014
1640649600000,2021-12-28,SHIBBRL,0.0002222,0.0002222,0.00019397,0.00019865,59149123630.0,12126917.90962509,17018
1640563200000,2021-12-27,SHIBBRL,0.00021871,0.00022416,0.00021501,0.00022219,51311126738.0,11289935.94929125,14265
1640476800000,2021-12-26,SHIBBRL,0.00021603,0.0002229,0.00020969,0.00021871,42996152979.0,9299667.59902855,11090
1640390400000,2021-12-25,SHIBBRL,0.00020654,0.00021899,0.00020501,0.00021609,27562089028.0,5874093.97202585,8479
1640304000000,2021-12-24,SHIBBRL,0.00022046,0.00022738,0.00020447,0.00020654,66474710844.0,14508889.35009483,17706
1640217600000,2021-12-23,SHIBBRL,0.00019968,0.00022263,0.0001964,0.00022046,74606239087.0,15650513.81972509,17912
1640131200000,2021-12-22,SHIBBRL,0.00018859,0.0002171,0.00018694,0.00019992,99884038154.0,20408671.0739428,21251
1640044800000,2021-12-21,SHIBBRL,0.00017946,0.00019203,0.00017739,0.00018845,51940708128.0,9641451.52414762,14221
1639958400000,2021-12-20,SHIBBRL,0.00017619,0.0001939,0.000162,0.00017901,60760618933.0,10737647.91797808,13945
1639872000000,2021-12-19,SHIBBRL,0.00017956,0.0001813,0.00017543,0.00017623,23748079172.0,4221326.87535128,6442
1639785600000,2021-12-18,SHIBBRL,0.00017778,0.00018321,0.00017544,0.00017956,29501076876.0,5270964.30730932,6857
1639699200000,2021-12-17,SHIBBRL,0.00018801,0.00019046,0.00017362,0.00017773,39038069067.0,7101126.27248155,11335
1639612800000,2021-12-16,SHIBBRL,0.00019315,0.00019801,0.00018751,0.00018805,32483319282.0,6272522.91816346,9548
1639526400000,2021-12-15,SHIBBRL,0.00019436,0.0001971,0.00018373,0.00019356,42291701237.0,8104182.25703283,11587
1639440000000,2021-12-14,SHIBBRL,0.00018851,0.00020353,0.00018558,0.0001945,59065783686.0,11418285.90456508,12184
1639353600000,2021-12-13,SHIBBRL,0.00020733,0.00020875,0.00018102,0.00018851,42318143250.0,8201068.47590938,12496
1639267200000,2021-12-12,SHIBBRL,0.00019467,0.00021413,0.00019159,0.00020735,48875316639.0,10031126.38878728,11979
1639180800000,2021-12-11,SHIBBRL,0.00019,0.00019845,0.000188,0.00019474,26168212604.0,5051580.96946352,7828
1639094400000,2021-12-10,SHIBBRL,0.00019596,0.0002035,0.00018936,0.0001903,29969452241.0,5907823.3978544,10707
1639008000000,2021-12-09,SHIBBRL,0.0002073,0.00021009,0.00019316,0.00019595,49742687870.0,10069681.63422815,12765
1638921600000,2021-12-08,SHIBBRL,0.00020488,0.00021161,0.00020228,0.0002073,43192144758.0,8963713.10949895,13732
1638835200000,2021-12-07,SHIBBRL,0.0002115,0.00022262,0.00020112,0.00020434,55088147963.0,11782033.15854453,15017
1638748800000,2021-12-06,SHIBBRL,0.00020805,0.0002162,0.00018806,0.00021151,65451285549.0,13188751.31648687,16741
1638662400000,2021-12-05,SHIBBRL,0.0002101,0.00022023,0.00019714,0.00020771,57597706152.0,12008324.73108578,14133
1638576000000,2021-12-04,SHIBBRL,0.00023217,0.00023259,0.00017196,0.00020956,106509371481.0,22354407.236094,26909
1638489600000,2021-12-03,SHIBBRL,0.0002411,0.00025599,0.000225,0.00023218,75100945171.0,18055756.99804004,18241
1638403200000,2021-12-02,SHIBBRL,0.00025293,0.00025311,0.00023501,0.00024137,51767362349.0,12573603.72072828,15429
1638316800000,2021-12-01,SHIBBRL,0.00027011,0.00027658,0.0002492,0.00025293,86612119277.0,22601352.11693639,23718
1638230400000,2021-11-30,SHIBBRL,0.00025699,0.0003075,0.00024552,0.00026938,258010367407.0,71659670.43408228,54093
1638144000000,2021-11-29,SHIBBRL,0.00022196,0.0002605,0.00021657,0.00025666,101822389674.0,24093418.30184584,20912
1638057600000,2021-11-28,SHIBBRL,0.00022281,0.00022422,0.00020693,0.00022178,36758997032.0,7942607.36470928,9491
1637971200000,2021-11-27,SHIBBRL,0.00022004,0.00023749,0.0002173,0.00022305,43632995462.0,9833867.31006715,11723
1637884800000,2021-11-26,SHIBBRL,0.00024166,0.00024243,0.00020265,0.00021969,99083025670.0,21988138.75152376,20594
1637798400000,2021-11-25,SHIBBRL,0.00021492,0.00027037,0.00021412,0.0002413,176990698738.0,42631039.19038854,30458
1637712000000,2021-11-24,SHIBBRL,0.00023729,0.00024289,0.00020349,0.00021492,103667751219.0,22694248.2970748,22151
1637625600000,2021-11-23,SHIBBRL,0.00024518,0.00025257,0.00023301,0.00023781,45780874175.0,11026916.83213354,13747
1637539200000,2021-11-22,SHIBBRL,0.0002512,0.00026028,0.00024181,0.00024527,59876648548.0,14968299.35980797,14181
1637452800000,2021-11-21,SHIBBRL,0.00027071,0.000271,0.00024783,0.00025117,42624361580.0,11041186.10713474,13246
1637366400000,2021-11-20,SHIBBRL,0.00027494,0.00028362,0.00025916,0.00027096,76375789419.0,20775741.81904513,18007
1637280000000,2021-11-19,SHIBBRL,0.00024039,0.00029423,0.000236,0.00027513,151394414494.0,40183123.26845938,28649
1637193600000,2021-11-18,SHIBBRL,0.0002689,0.00027364,0.00022712,0.00024005,128935728427.0,32353141.8462789,25487
1637107200000,2021-11-17,SHIBBRL,0.00027042,0.00027887,0.0002608,0.00026873,88153066415.0,23800988.73841588,18287
1637020800000,2021-11-16,SHIBBRL,0.00029579,0.00029631,0.00025346,0.00027049,116488269744.0,32363961.88777357,26371
1636934400000,2021-11-15,SHIBBRL,0.00029334,0.00030952,0.00028784,0.00029585,138365327768.0,41059295.64968724,21619
1636848000000,2021-11-14,SHIBBRL,0.00028614,0.00031115,0.00028546,0.00029325,122969427411.0,36305108.68935802,18971
1636761600000,2021-11-13,SHIBBRL,0.00028914,0.00029314,0.0002802,0.00028614,91403540728.0,26169934.96185268,15996
1636675200000,2021-11-12,SHIBBRL,0.00031032,0.00031267,0.00028246,0.00028937,93826483627.0,27437412.46185713,19943
1636588800000,2021-11-11,SHIBBRL,0.00028115,0.00032029,0.00027009,0.00031061,169890084157.0,50814104.59668836,31446
1636502400000,2021-11-10,SHIBBRL,0.00030494,0.0003069,0.00025783,0.00028142,177769817087.0,50727043.53993298,33687
1636416000000,2021-11-09,SHIBBRL,0.0003074,0.00032593,0.00029453,0.00030453,151397522274.0,46919848.83023275,28978
1636329600000,2021-11-08,SHIBBRL,0.00031931,0.00032778,0.000293,0.00030739,150284620969.0,46540083.84328096,28692
1636243200000,2021-11-07,SHIBBRL,0.00032978,0.00033462,0.00031434,0.00031898,128245912815.0,41528117.18646841,22109
1636156800000,2021-11-06,SHIBBRL,0.00035223,0.00035489,0.000309,0.00032978,220446828117.0,73030569.86057849,40848
1636070400000,2021-11-05,SHIBBRL,0.00028065,0.00036833,0.00025763,0.00035222,338449810339.0,107696123.65782064,65342
1635984000000,2021-11-04,SHIBBRL,0.00031201,0.00034495,0.00024315,0.00027981,414921696720.0,120495161.81418511,76051
1635897600000,2021-11-03,SHIBBRL,0.00039446,0.00039492,0.00029665,0.00031158,219295532137.0,76569150.18229753,55398
1635811200000,2021-11-02,SHIBBRL,0.0004103,0.00041648,0.00038096,0.00039434,134357461436.0,53402775.32383923,40601
