https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume LINK,Volume BRL,tradecount
1648339200000,2022-03-27,LINKBRL,75.8,80.5,74.9,80.3,21247.54,1646284.984,855
1648252800000,2022-03-26,LINKBRL,74.7,76.0,74.3,75.8,9215.6,691469.747,452
1648166400000,2022-03-25,LINKBRL,78.3,79.5,74.2,74.5,16368.05,1260889.3,728
1648080000000,2022-03-24,LINKBRL,77.1,79.8,75.9,78.3,18193.95,1414506.091,833
1647993600000,2022-03-23,LINKBRL,76.5,78.0,74.7,77.1,26167.0,1993444.991,758
1647907200000,2022-03-22,LINKBRL,74.6,79.7,74.1,76.5,666826.43,51482962.988,2552
1647820800000,2022-03-21,LINKBRL,73.4,76.7,72.3,74.7,317425.85,23486027.7,1802
1647734400000,2022-03-20,LINKBRL,75.9,76.3,72.9,73.5,19201.75,1438346.098,615
1647648000000,2022-03-19,LINKBRL,75.8,77.7,74.8,75.8,22729.0,1728177.902,782
1647561600000,2022-03-18,LINKBRL,72.9,76.8,71.3,75.8,28815.36,2132625.852,930
1647475200000,2022-03-17,LINKBRL,74.8,76.0,72.3,72.8,22884.38,1695222.478,785
1647388800000,2022-03-16,LINKBRL,70.5,75.1,70.2,74.9,34951.72,2522564.857,1108
1647302400000,2022-03-15,LINKBRL,68.6,70.9,66.2,70.5,32414.43,2217046.687,949
1647216000000,2022-03-14,LINKBRL,64.9,68.7,64.3,68.6,33226.27,2210560.18,857
1647129600000,2022-03-13,LINKBRL,66.7,68.3,64.3,64.9,24326.31,1631707.186,625
1647043200000,2022-03-12,LINKBRL,66.6,70.0,66.1,66.8,118921.79,8103913.614,983
1646956800000,2022-03-11,LINKBRL,66.6,68.6,64.8,66.5,31299.38,2076425.509,877
1646870400000,2022-03-10,LINKBRL,70.4,71.1,65.4,66.6,21000.04,1411717.5,768
1646784000000,2022-03-09,LINKBRL,67.0,72.5,66.7,70.7,26980.14,1894018.664,852
1646697600000,2022-03-08,LINKBRL,65.2,69.4,64.7,66.8,25377.09,1703720.015,704
1646611200000,2022-03-07,LINKBRL,68.2,69.3,63.7,65.2,44409.89,2959930.955,1008
1646524800000,2022-03-06,LINKBRL,71.6,72.1,67.9,68.2,15832.91,1110855.443,504
1646438400000,2022-03-05,LINKBRL,70.0,73.0,68.7,71.6,14148.19,1004673.109,479
1646352000000,2022-03-04,LINKBRL,75.4,75.8,69.4,70.0,22888.15,1644205.867,799
1646265600000,2022-03-03,LINKBRL,78.5,78.6,73.6,75.4,10052.06,764806.677,493
1646179200000,2022-03-02,LINKBRL,79.0,81.5,76.8,78.3,12705.69,1005836.239,575
1646092800000,2022-03-01,LINKBRL,78.0,81.2,76.1,79.0,16057.16,1254224.225,752
1646006400000,2022-02-28,LINKBRL,70.8,78.1,69.5,78.0,22040.95,1629296.599,818
1645920000000,2022-02-27,LINKBRL,76.5,77.2,70.4,71.1,16898.71,1245120.493,546
1645833600000,2022-02-26,LINKBRL,74.5,78.0,73.3,76.5,22965.18,1733308.688,730
1645747200000,2022-02-25,LINKBRL,68.5,75.3,67.4,74.5,29007.77,2064534.39,922
1645660800000,2022-02-24,LINKBRL,67.2,71.4,57.4,68.5,65396.58,4095878.0401754,2041
1645574400000,2022-02-23,LINKBRL,71.4,74.1,67.4,67.6,29592.42,2113609.34,884
1645488000000,2022-02-22,LINKBRL,69.7,72.3,67.6,71.5,26967.17,1885976.768,859
1645401600000,2022-02-21,LINKBRL,75.9,79.4,69.1,69.6,23100.86585,1721510.5879668,907
1645315200000,2022-02-20,LINKBRL,80.5,80.5,74.7,76.1,13391.65,1024177.354,535
1645228800000,2022-02-19,LINKBRL,78.8,81.1,76.9,80.5,6854.6,543614.568,432
1645142400000,2022-02-18,LINKBRL,81.2,83.6,77.8,78.9,14430.03,1158123.285,615
1645056000000,2022-02-17,LINKBRL,88.7,90.1,80.6,81.5,10473.1,877834.911,572
1644969600000,2022-02-16,LINKBRL,89.9,90.0,85.9,88.2,9559.04,838248.999,483
1644883200000,2022-02-15,LINKBRL,83.6,90.3,83.1,89.9,7275.41,636070.152,553
1644796800000,2022-02-14,LINKBRL,82.5,84.4,79.7,83.6,6861.32,562763.81,523
1644710400000,2022-02-13,LINKBRL,84.0,86.4,82.5,82.8,6290.58,533397.491,349
1644624000000,2022-02-12,LINKBRL,85.4,86.8,82.5,84.3,8087.07,687168.172,506
1644537600000,2022-02-11,LINKBRL,92.2,93.6,84.5,85.5,10987.39,983154.248,693
1644451200000,2022-02-10,LINKBRL,98.5,98.7,91.6,92.4,7446.39,707930.678,691
1644364800000,2022-02-09,LINKBRL,97.8,99.3,94.2,98.3,5990.49,584707.624,506
1644278400000,2022-02-08,LINKBRL,100.3,103.5,94.2,97.6,11657.07,1125309.909,837
1644192000000,2022-02-07,LINKBRL,97.2,103.1,94.6,100.4,15789.84,1579262.832,982
1644105600000,2022-02-06,LINKBRL,95.7,97.7,92.4,97.2,9935.65,941853.217,546
1644019200000,2022-02-05,LINKBRL,93.6,98.1,93.4,95.7,15868.91,1518816.433,808
1643932800000,2022-02-04,LINKBRL,86.7,93.6,85.4,93.6,8578.92,764593.09,740
1643846400000,2022-02-03,LINKBRL,83.9,86.9,81.2,86.8,20360.61,1708119.183,1311
1643760000000,2022-02-02,LINKBRL,90.2,92.0,82.9,84.0,17568.52,1533243.902,860
1643673600000,2022-02-01,LINKBRL,91.8,95.3,89.5,90.1,10502.31,961645.282,814
1643587200000,2022-01-31,LINKBRL,96.9,96.9,89.9,91.8,11916.18,1095938.356,757
1643500800000,2022-01-30,LINKBRL,88.0,98.3,87.2,96.5,9876.22,926094.015,685
1643414400000,2022-01-29,LINKBRL,87.4,90.7,86.5,88.1,6761.25,599239.473,492
1643328000000,2022-01-28,LINKBRL,83.0,88.2,80.3,87.5,22813.15,1933596.928,848
1643241600000,2022-01-27,LINKBRL,83.5,85.0,78.7,83.0,14575.98,1186507.71,835
1643155200000,2022-01-26,LINKBRL,85.6,91.4,80.8,83.9,21719.19,1874879.73,1126
1643068800000,2022-01-25,LINKBRL,86.1,88.0,81.5,85.5,16669.39,1419656.83,831
1642982400000,2022-01-24,LINKBRL,91.7,91.7,74.9,86.4,32429.33,2635163.849,1640
1642896000000,2022-01-23,LINKBRL,87.6,93.1,84.1,92.0,17956.24,1583349.017,1085
1642809600000,2022-01-22,LINKBRL,95.8,98.1,79.0,87.7,25895.19144,2256553.4255668,2232
1642723200000,2022-01-21,LINKBRL,110.6,112.2,94.8,96.2,20666.2,2146523.374,2009
1642636800000,2022-01-20,LINKBRL,118.9,125.2,110.0,110.6,5709.62,680999.369,879
1642550400000,2022-01-19,LINKBRL,129.0,129.8,118.2,119.0,12102.06,1482582.329,934
1642464000000,2022-01-18,LINKBRL,132.9,135.7,123.5,129.0,6469.64,824820.147,878
1642377600000,2022-01-17,LINKBRL,142.8,143.1,129.8,133.1,6215.45,839330.202,920
1642291200000,2022-01-16,LINKBRL,140.8,147.1,137.8,142.4,3191.25,455520.117,565
1642204800000,2022-01-15,LINKBRL,143.6,146.3,140.5,140.8,4518.72,646791.529,605
1642118400000,2022-01-14,LINKBRL,139.2,144.3,133.6,143.5,7127.55,985273.072,891
1642032000000,2022-01-13,LINKBRL,149.1,149.4,136.1,138.4,5589.72,795738.279,1005
1641945600000,2022-01-12,LINKBRL,149.9,152.8,144.5,149.1,8020.32,1194785.444,1238
1641859200000,2022-01-11,LINKBRL,160.0,163.5,146.9,150.0,13162.67,2027994.245,1553
1641772800000,2022-01-10,LINKBRL,156.3,162.0,143.7,159.6,18980.04,2916003.337,1854
1641686400000,2022-01-09,LINKBRL,144.3,163.4,143.5,157.1,14235.41,2207878.528,1944
1641600000000,2022-01-08,LINKBRL,148.1,155.4,134.5,144.7,11891.55,1737684.098,1818
1641513600000,2022-01-07,LINKBRL,145.9,155.0,130.6,146.9,16003.9,2323138.153,2464
1641427200000,2022-01-06,LINKBRL,145.4,148.7,134.8,146.2,14739.69,2090978.648,1872
1641340800000,2022-01-05,LINKBRL,133.8,156.5,129.8,145.3,37669.05,5488997.482,3609
1641254400000,2022-01-04,LINKBRL,135.2,139.7,130.0,134.0,10501.98,1424110.13,1370
1641168000000,2022-01-03,LINKBRL,123.5,135.1,119.9,135.0,11078.15,1424673.586,1352
1641081600000,2022-01-02,LINKBRL,117.0,125.1,116.1,123.1,6401.7,778351.48,678
1640995200000,2022-01-01,LINKBRL,110.4,117.0,110.3,116.7,2955.97,333972.399,332
1640908800000,2021-12-31,LINKBRL,112.6,115.7,107.7,110.4,4579.12,511967.983,572
1640822400000,2021-12-30,LINKBRL,113.3,117.3,110.2,112.6,6213.34,701954.454,673
1640736000000,2021-12-29,LINKBRL,115.5,119.1,111.7,113.2,9701.23,1125548.264,899
1640649600000,2021-12-28,LINKBRL,130.8,130.8,115.5,115.8,10622.73,1288756.926,1207
1640563200000,2021-12-27,LINKBRL,131.7,139.0,129.7,130.9,6371.22,862162.776,940
1640476800000,2021-12-26,LINKBRL,126.0,134.6,121.0,131.6,8478.7,1090519.275,785
1640390400000,2021-12-25,LINKBRL,122.5,127.9,122.0,126.6,3375.39,421047.37,383
1640304000000,2021-12-24,LINKBRL,126.3,129.4,121.4,122.6,11044.37,1391874.625,837
1640217600000,2021-12-23,LINKBRL,113.6,126.5,112.0,126.4,8542.81,1026574.828,1115
1640131200000,2021-12-22,LINKBRL,111.6,119.6,110.6,113.9,10875.24,1247804.688,965
1640044800000,2021-12-21,LINKBRL,108.0,112.7,105.3,111.6,7206.94,786405.741,590
1639958400000,2021-12-20,LINKBRL,107.9,109.6,103.4,107.5,8069.39,860256.788,701
1639872000000,2021-12-19,LINKBRL,111.5,115.7,107.6,107.7,5502.08,616787.174,479
1639785600000,2021-12-18,LINKBRL,103.9,113.8,101.7,111.4,8842.62,971650.502,600
1639699200000,2021-12-17,LINKBRL,107.7,110.3,101.9,104.5,8903.08,942346.525,732
1639612800000,2021-12-16,LINKBRL,112.9,116.3,107.4,107.7,8599.81,963695.614,736
1639526400000,2021-12-15,LINKBRL,105.5,114.4,99.3,112.6,14758.68,1578235.008,1096
1639440000000,2021-12-14,LINKBRL,101.9,106.1,99.9,105.5,9693.01,1001267.831,725
1639353600000,2021-12-13,LINKBRL,116.0,116.4,99.1,102.0,13189.93,1393939.316,987
1639267200000,2021-12-12,LINKBRL,113.0,117.7,109.1,115.7,5993.09,681864.031,477
1639180800000,2021-12-11,LINKBRL,105.4,114.5,103.3,112.9,6312.84,692819.991,536
1639094400000,2021-12-10,LINKBRL,114.9,118.1,104.9,104.9,12518.72,1398410.493,975
1639008000000,2021-12-09,LINKBRL,128.5,129.0,114.5,115.5,19848.56,2365765.847,1217
1638921600000,2021-12-08,LINKBRL,119.0,129.7,117.3,128.4,24893.04,3109688.145,1903
1638835200000,2021-12-07,LINKBRL,114.0,120.1,113.0,118.9,17870.03,2068403.506,1179
1638748800000,2021-12-06,LINKBRL,112.0,114.3,98.9,114.1,16385.49,1727612.699,1290
1638662400000,2021-12-05,LINKBRL,119.0,120.3,106.5,112.0,9059.77,1018687.675,816
1638576000000,2021-12-04,LINKBRL,133.8,134.0,89.3,119.3,38037.10273,4286937.0589629,3259
1638489600000,2021-12-03,LINKBRL,140.5,147.1,130.3,133.8,10722.84,1496784.913,1151
1638403200000,2021-12-02,LINKBRL,144.9,144.9,139.1,140.1,8120.73,1147975.589,839
1638316800000,2021-12-01,LINKBRL,143.9,152.2,143.0,144.9,7844.88,1165719.447,889
1638230400000,2021-11-30,LINKBRL,142.2,149.5,137.0,143.9,9768.15,1426288.198,935
1638144000000,2021-11-29,LINKBRL,140.5,144.6,139.0,142.2,8783.6,1241366.99,706
1638057600000,2021-11-28,LINKBRL,136.8,141.4,129.6,140.3,4482.81,608645.565,614
1637971200000,2021-11-27,LINKBRL,135.9,141.6,135.5,136.8,6477.41,899047.215,529
1637884800000,2021-11-26,LINKBRL,149.2,150.1,130.7,135.9,22111.06,3061039.492,1802
1637798400000,2021-11-25,LINKBRL,145.0,156.0,144.2,149.2,10073.11,1529296.15,1025
1637712000000,2021-11-24,LINKBRL,152.8,153.7,142.4,145.5,11677.17,1720459.285,1085
1637625600000,2021-11-23,LINKBRL,151.6,157.3,148.3,152.6,7428.47,1135887.364,948
1637539200000,2021-11-22,LINKBRL,165.4,165.4,149.2,151.9,8525.69,1324127.378,939
1637452800000,2021-11-21,LINKBRL,161.4,166.6,157.8,165.5,7445.41,1198609.395,759
1637366400000,2021-11-20,LINKBRL,160.7,162.6,155.4,160.5,8714.94,1395220.717,839
1637280000000,2021-11-19,LINKBRL,150.1,162.4,147.5,160.0,10728.08,1690600.945,1207
1637193600000,2021-11-18,LINKBRL,162.6,166.1,145.6,150.1,16462.3,2538795.875,1482
1637107200000,2021-11-17,LINKBRL,163.1,165.2,157.3,163.1,8436.02,1368042.469,988
1637020800000,2021-11-16,LINKBRL,177.1,177.1,157.3,163.4,21096.29,3514660.586,2327
1636934400000,2021-11-15,LINKBRL,187.5,190.1,177.4,177.4,6517.51,1197471.954,855
1636848000000,2021-11-14,LINKBRL,188.4,190.3,180.6,186.4,4269.37,791553.136,571
1636761600000,2021-11-13,LINKBRL,190.6,191.1,184.1,188.6,5091.51,955861.189,753
1636675200000,2021-11-12,LINKBRL,190.6,194.6,179.9,189.5,15593.27,2915011.472,1512
1636588800000,2021-11-11,LINKBRL,190.7,205.9,186.7,190.5,14309.01,2820517.029,1565
1636502400000,2021-11-10,LINKBRL,188.2,211.5,179.3,191.7,32272.80998,6482673.9089855,3326
1636416000000,2021-11-09,LINKBRL,192.1,197.5,185.1,187.7,13558.69644,2596297.84987,1533
1636329600000,2021-11-08,LINKBRL,181.2,194.1,180.5,192.0,20840.94622,3951060.307814,1820
1636243200000,2021-11-07,LINKBRL,180.3,182.9,178.8,181.0,6160.62,1116302.005,735
1636156800000,2021-11-06,LINKBRL,184.8,186.3,173.0,180.1,7482.8,1333667.368,1031
1636070400000,2021-11-05,LINKBRL,175.9,188.5,173.0,184.8,121138.15,21645109.971,2817
1635984000000,2021-11-04,LINKBRL,179.3,180.7,170.3,176.0,7664.53,1339909.166,1308
1635897600000,2021-11-03,LINKBRL,184.3,187.3,174.9,179.7,9323.05,1680725.157,1472
1635811200000,2021-11-02,LINKBRL,181.5,185.5,177.3,183.8,7830.95,1426570.076,1341
1635724800000,2021-11-01,LINKBRL,171.2,182.4,167.0,181.4,9727.88,1716423.134,1411
1635638400000,2021-10-31,LINKBRL,169.0,174.5,164.2,171.1,4333.98,735345.537,847
1635552000000,2021-10-30,LINKBRL,176.6,177.3,166.8,169.5,6191.31,1063612.722,1022
1635465600000,2021-10-29,LINKBRL,171.9,181.2,170.9,176.1,8693.99,1538157.693,1453
