https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume CHZ,Volume BRL,tradecount
1679443200000,2023-03-22,CHZBRL,0.65,0.659,0.609,0.625,895126.0,562990.861,533
1679356800000,2023-03-21,CHZBRL,0.623,0.652,0.609,0.646,850807.0,538600.436,480
1679270400000,2023-03-20,CHZBRL,0.642,0.652,0.618,0.623,485737.0,307934.892,385
1679184000000,2023-03-19,CHZBRL,0.624,0.653,0.624,0.641,369454.0,236025.972,247
1679097600000,2023-03-18,CHZBRL,0.657,0.669,0.621,0.626,563399.0,366460.699,438
1679011200000,2023-03-17,CHZBRL,0.615,0.66,0.61,0.656,428582.0,271260.018,421
1678924800000,2023-03-16,CHZBRL,0.606,0.625,0.599,0.616,698771.0,430850.291,484
1678838400000,2023-03-15,CHZBRL,0.645,0.654,0.599,0.604,780005.0,483358.302,517
1678752000000,2023-03-14,CHZBRL,0.618,0.661,0.605,0.648,1067738.0,680901.206,911
1678665600000,2023-03-13,CHZBRL,0.595,0.626,0.573,0.617,852103.0,514373.949,1082
1678579200000,2023-03-12,CHZBRL,0.554,0.595,0.549,0.592,423072.0,240138.47,407
1678492800000,2023-03-11,CHZBRL,0.577,0.588,0.545,0.558,521717.0,294173.729,373
1678406400000,2023-03-10,CHZBRL,0.549,0.582,0.521,0.577,879188.0,484246.883,543
1678320000000,2023-03-09,CHZBRL,0.575,0.596,0.535,0.549,1031533.0,585884.052,678
1678233600000,2023-03-08,CHZBRL,0.634,0.634,0.575,0.575,873880.0,526734.252,863
1678147200000,2023-03-07,CHZBRL,0.64,0.644,0.62,0.632,398180.0,250285.866,412
1678060800000,2023-03-06,CHZBRL,0.638,0.647,0.624,0.639,190932.0,121757.643,239
1677974400000,2023-03-05,CHZBRL,0.641,0.651,0.636,0.64,146976.0,94656.63,220
1677888000000,2023-03-04,CHZBRL,0.665,0.668,0.626,0.64,314393.0,202294.894,626
1677801600000,2023-03-03,CHZBRL,0.699,0.7,0.633,0.665,805013.0,526451.062,1006
1677715200000,2023-03-02,CHZBRL,0.713,0.718,0.693,0.7,757815.0,532849.496,473
1677628800000,2023-03-01,CHZBRL,0.686,0.758,0.685,0.712,2657354.0,1940310.406,1150
1677542400000,2023-02-28,CHZBRL,0.701,0.709,0.683,0.687,583956.0,407801.139,514
1677456000000,2023-02-27,CHZBRL,0.709,0.712,0.687,0.7,291972.0,204763.833,307
1677369600000,2023-02-26,CHZBRL,0.696,0.712,0.695,0.711,333027.0,234407.86,269
1677283200000,2023-02-25,CHZBRL,0.707,0.708,0.68,0.701,423724.0,295138.757,582
1677196800000,2023-02-24,CHZBRL,0.715,0.747,0.691,0.707,2187885.0,1563477.184,956
1677110400000,2023-02-23,CHZBRL,0.721,0.733,0.705,0.715,672904.0,484214.373,443
1677024000000,2023-02-22,CHZBRL,0.737,0.739,0.703,0.72,1206216.0,864393.7,512
1676937600000,2023-02-21,CHZBRL,0.758,0.763,0.722,0.738,2039947.0,1503075.221,772
1676851200000,2023-02-20,CHZBRL,0.741,0.765,0.72,0.758,1617184.0,1221170.336,686
1676764800000,2023-02-19,CHZBRL,0.73,0.75,0.72,0.741,537191.0,395463.511,329
1676678400000,2023-02-18,CHZBRL,0.731,0.739,0.724,0.73,351257.0,257193.47,310
1676592000000,2023-02-17,CHZBRL,0.698,0.737,0.696,0.732,599367.0,434745.24,534
1676505600000,2023-02-16,CHZBRL,0.742,0.752,0.695,0.699,3597139.0,2633764.916,1344
1676419200000,2023-02-15,CHZBRL,0.702,0.744,0.687,0.741,1881763.0,1348032.923,1166
1676332800000,2023-02-14,CHZBRL,0.673,0.703,0.66,0.701,936505.0,637623.026,1078
1676246400000,2023-02-13,CHZBRL,0.706,0.707,0.651,0.675,1376840.0,930888.167,1248
1676160000000,2023-02-12,CHZBRL,0.725,0.734,0.69,0.704,748086.0,537582.131,539
1676073600000,2023-02-11,CHZBRL,0.712,0.729,0.708,0.726,449270.0,323497.261,362
1675987200000,2023-02-10,CHZBRL,0.731,0.748,0.701,0.713,1245301.0,904027.176,847
1675900800000,2023-02-09,CHZBRL,0.824,0.824,0.709,0.732,2368198.0,1818727.286,1844
1675814400000,2023-02-08,CHZBRL,0.84,0.927,0.802,0.823,4771395.0,4148281.815,2399
1675728000000,2023-02-07,CHZBRL,0.71,0.884,0.71,0.84,5366124.0,4353134.72,2676
1675641600000,2023-02-06,CHZBRL,0.727,0.738,0.707,0.711,835639.0,605059.791,517
1675555200000,2023-02-05,CHZBRL,0.751,0.759,0.706,0.727,1540451.0,1116670.913,689
1675468800000,2023-02-04,CHZBRL,0.748,0.77,0.737,0.751,715390.0,539397.174,550
1675382400000,2023-02-03,CHZBRL,0.715,0.751,0.709,0.748,995227.0,728642.082,716
1675296000000,2023-02-02,CHZBRL,0.706,0.761,0.702,0.711,3226904.0,2364979.155,1586
1675209600000,2023-02-01,CHZBRL,0.683,0.708,0.66,0.705,1155140.0,788168.327,969
1675123200000,2023-01-31,CHZBRL,0.674,0.688,0.67,0.681,679580.0,461760.022,479
1675036800000,2023-01-30,CHZBRL,0.731,0.751,0.665,0.673,2113355.0,1475320.107,1666
1674950400000,2023-01-29,CHZBRL,0.702,0.733,0.702,0.733,610784.0,438158.613,563
1674864000000,2023-01-28,CHZBRL,0.713,0.73,0.697,0.704,1101455.0,789505.051,576
1674777600000,2023-01-27,CHZBRL,0.699,0.713,0.673,0.711,1081850.0,749879.817,947
1674691200000,2023-01-26,CHZBRL,0.706,0.715,0.689,0.701,640132.0,451090.306,527
1674604800000,2023-01-25,CHZBRL,0.692,0.719,0.666,0.706,1505876.0,1035453.424,1048
1674518400000,2023-01-24,CHZBRL,0.734,0.804,0.685,0.692,3687298.0,2757216.246,2134
1674432000000,2023-01-23,CHZBRL,0.711,0.743,0.708,0.732,2401776.0,1754913.843,1155
1674345600000,2023-01-22,CHZBRL,0.705,0.732,0.692,0.711,3693395.0,2640860.427,1883
1674259200000,2023-01-21,CHZBRL,0.715,0.719,0.697,0.701,2101608.0,1489734.192,1386
1674172800000,2023-01-20,CHZBRL,0.663,0.715,0.657,0.715,932707.0,638660.013,756
1674086400000,2023-01-19,CHZBRL,0.644,0.67,0.644,0.663,430071.0,282863.141,395
1674000000000,2023-01-18,CHZBRL,0.7,0.716,0.634,0.644,1530193.0,1031268.891,835
1673913600000,2023-01-17,CHZBRL,0.704,0.713,0.687,0.698,1224529.0,859034.883,586
1673827200000,2023-01-16,CHZBRL,0.725,0.737,0.679,0.701,1368719.0,967233.789,696
1673740800000,2023-01-15,CHZBRL,0.71,0.725,0.68,0.725,859320.0,604198.693,617
1673654400000,2023-01-14,CHZBRL,0.677,0.735,0.66,0.709,1469322.0,1020602.31,1012
1673568000000,2023-01-13,CHZBRL,0.657,0.679,0.645,0.678,1485453.0,978335.242,830
1673481600000,2023-01-12,CHZBRL,0.632,0.664,0.624,0.662,1946484.0,1252495.664,1124
1673395200000,2023-01-11,CHZBRL,0.631,0.631,0.603,0.63,1109138.0,682690.442,677
1673308800000,2023-01-10,CHZBRL,0.604,0.664,0.604,0.632,2348900.0,1496222.801,1182
1673222400000,2023-01-09,CHZBRL,0.598,0.624,0.592,0.605,1452853.0,881811.586,971
1673136000000,2023-01-08,CHZBRL,0.577,0.598,0.569,0.594,1064060.0,617673.603,527
1673049600000,2023-01-07,CHZBRL,0.582,0.584,0.571,0.575,401517.0,231914.388,335
1672963200000,2023-01-06,CHZBRL,0.602,0.602,0.563,0.58,1597223.0,923139.864,792
1672876800000,2023-01-05,CHZBRL,0.567,0.641,0.567,0.604,3821160.0,2316696.505,1733
1672790400000,2023-01-04,CHZBRL,0.556,0.582,0.549,0.568,1264585.0,718131.527,1155
1672704000000,2023-01-03,CHZBRL,0.542,0.556,0.535,0.556,757290.0,412238.036,633
1672617600000,2023-01-02,CHZBRL,0.537,0.549,0.525,0.541,1379245.0,748062.88,915
1672531200000,2023-01-01,CHZBRL,0.532,0.54,0.53,0.537,609859.0,326439.613,259
1672444800000,2022-12-31,CHZBRL,0.536,0.543,0.53,0.533,619056.0,332373.91,339
1672358400000,2022-12-30,CHZBRL,0.543,0.545,0.517,0.536,1343241.0,711212.826,2260
1672272000000,2022-12-29,CHZBRL,0.545,0.555,0.53,0.544,894488.0,486686.119,787
1672185600000,2022-12-28,CHZBRL,0.57,0.57,0.543,0.544,1023126.0,564475.071,1128
1672099200000,2022-12-27,CHZBRL,0.579,0.58,0.558,0.569,813519.0,463030.951,639
1672012800000,2022-12-26,CHZBRL,0.574,0.579,0.563,0.577,695115.0,396530.318,465
1671926400000,2022-12-25,CHZBRL,0.579,0.581,0.566,0.574,573727.0,328625.849,302
1671840000000,2022-12-24,CHZBRL,0.578,0.583,0.576,0.579,711187.0,411838.072,305
1671753600000,2022-12-23,CHZBRL,0.584,0.586,0.571,0.578,1461733.0,844200.015,728
1671667200000,2022-12-22,CHZBRL,0.582,0.59,0.562,0.583,1824620.0,1051398.545,782
1671580800000,2022-12-21,CHZBRL,0.593,0.593,0.569,0.584,1404234.0,813033.862,736
1671494400000,2022-12-20,CHZBRL,0.568,0.606,0.567,0.594,1796255.0,1053035.624,1076
1671408000000,2022-12-19,CHZBRL,0.627,0.635,0.556,0.567,1372632.0,822343.762,913
1671321600000,2022-12-18,CHZBRL,0.636,0.673,0.617,0.627,1778936.0,1133691.592,1003
1671235200000,2022-12-17,CHZBRL,0.646,0.649,0.599,0.636,1553049.0,967515.579,1112
1671148800000,2022-12-16,CHZBRL,0.753,0.769,0.634,0.646,2633818.0,1816998.327,1522
1671062400000,2022-12-15,CHZBRL,0.715,0.78,0.698,0.755,1860186.0,1404453.542,1180
1670976000000,2022-12-14,CHZBRL,0.738,0.744,0.711,0.716,1015454.0,734402.306,623
1670889600000,2022-12-13,CHZBRL,0.725,0.748,0.693,0.737,1744199.0,1270204.681,1089
1670803200000,2022-12-12,CHZBRL,0.753,0.753,0.701,0.725,1362296.0,985029.736,1546
1670716800000,2022-12-11,CHZBRL,0.783,0.791,0.732,0.754,939949.0,715600.609,656
1670630400000,2022-12-10,CHZBRL,0.789,0.795,0.779,0.784,440586.0,346546.757,403
1670544000000,2022-12-09,CHZBRL,0.805,0.805,0.782,0.79,441282.0,350067.415,442
1670457600000,2022-12-08,CHZBRL,0.798,0.814,0.777,0.805,683450.0,543716.434,762
1670371200000,2022-12-07,CHZBRL,0.85,0.853,0.786,0.798,1151664.0,940172.656,1090
1670284800000,2022-12-06,CHZBRL,0.855,0.858,0.839,0.847,620245.0,525728.843,651
1670198400000,2022-12-05,CHZBRL,0.87,0.894,0.836,0.858,1685300.0,1459410.391,1346
1670112000000,2022-12-04,CHZBRL,0.866,0.895,0.86,0.874,1897913.0,1654784.417,1136
1670025600000,2022-12-03,CHZBRL,0.89,0.9,0.862,0.866,1334851.0,1173894.259,912
1669939200000,2022-12-02,CHZBRL,0.839,0.921,0.812,0.889,3071396.0,2677396.323,2140
1669852800000,2022-12-01,CHZBRL,0.87,0.873,0.832,0.839,877675.0,744228.184,1716
1669766400000,2022-11-30,CHZBRL,0.873,0.897,0.82,0.87,2527355.0,2199185.306,2036
1669680000000,2022-11-29,CHZBRL,0.883,0.9,0.862,0.872,1048175.0,922395.842,898
1669593600000,2022-11-28,CHZBRL,0.913,0.927,0.847,0.886,2867600.0,2536818.61,2178
1669507200000,2022-11-27,CHZBRL,0.929,0.95,0.911,0.916,942781.0,882485.071,807
1669420800000,2022-11-26,CHZBRL,0.95,0.968,0.919,0.93,1594841.0,1510067.327,2025
1669334400000,2022-11-25,CHZBRL,0.948,0.959,0.908,0.954,1729941.0,1612145.434,1806
1669248000000,2022-11-24,CHZBRL,0.988,0.988,0.933,0.951,1446544.0,1382377.477,2005
1669161600000,2022-11-23,CHZBRL,0.983,1.003,0.943,0.99,2040546.0,1985098.341,2248
1669075200000,2022-11-22,CHZBRL,0.995,1.01,0.9,0.985,4700586.0,4475586.109,4658
1668988800000,2022-11-21,CHZBRL,1.07,1.175,0.96,0.995,7373751.0,7733878.461,6103
1668902400000,2022-11-20,CHZBRL,1.318,1.327,1.04,1.068,7869720.0,9305529.358,5213
1668816000000,2022-11-19,CHZBRL,1.44,1.48,1.305,1.324,5149318.0,7056098.625,3935
1668729600000,2022-11-18,CHZBRL,1.26,1.459,1.253,1.442,4947351.0,6754897.988,4426
1668643200000,2022-11-17,CHZBRL,1.232,1.3,1.18,1.262,3924032.0,4854580.555,2859
1668556800000,2022-11-16,CHZBRL,1.169,1.26,1.128,1.232,5205348.0,6277699.737,3949
1668470400000,2022-11-15,CHZBRL,1.047,1.206,1.026,1.169,4632769.0,5190359.859,3580
1668384000000,2022-11-14,CHZBRL,1.044,1.108,0.939,1.05,6929868.0,7157227.365,4841
1668297600000,2022-11-13,CHZBRL,1.127,1.146,1.008,1.051,4543848.0,4790673.44,3223
1668211200000,2022-11-12,CHZBRL,1.207,1.219,1.085,1.129,3785899.0,4293620.796,2817
1668124800000,2022-11-11,CHZBRL,1.155,1.261,1.085,1.206,11005869.0,12933159.614,6532
1668038400000,2022-11-10,CHZBRL,0.811,1.187,0.8,1.154,9080829.0,9325719.551,5983
1667952000000,2022-11-09,CHZBRL,1.112,1.129,0.764,0.816,7550831.0,7342354.935,6738
1667865600000,2022-11-08,CHZBRL,1.426,1.448,0.915,1.106,13369601.0,16598951.464,9214
1667779200000,2022-11-07,CHZBRL,1.399,1.531,1.283,1.426,5115203.0,7228579.516,3438
1667692800000,2022-11-06,CHZBRL,1.371,1.49,1.331,1.394,3519232.0,5023712.046,2389
1667606400000,2022-11-05,CHZBRL,1.309,1.425,1.276,1.367,3951335.0,5395718.817,2321
1667520000000,2022-11-04,CHZBRL,1.225,1.316,1.191,1.307,2926009.0,3689016.161,1689
1667433600000,2022-11-03,CHZBRL,1.248,1.3,1.216,1.235,2288448.0,2865168.42,1442
