https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume BRL,tradecount
1677974400000,2023-03-05,BTCBRL,117016.0,118466.0,116160.0,117373.0,176.19054,20681094.54267,18600
1677888000000,2023-03-04,BTCBRL,117149.0,117450.0,115950.0,116994.0,121.83919,14231537.44432,16249
1677801600000,2023-03-03,BTCBRL,122539.0,122667.0,115400.0,117155.0,482.85497,56805246.58195,43014
1677715200000,2023-03-02,BTCBRL,123170.0,123997.0,121515.0,122582.0,308.26937,37725625.52645,28333
1677628800000,2023-03-01,BTCBRL,121200.0,125200.0,120611.0,123233.0,431.77732,53292836.47235,39998
1677542400000,2023-02-28,BTCBRL,122600.0,123650.0,120901.0,121209.0,366.10747,44816733.48868,34403
1677456000000,2023-02-27,BTCBRL,122979.0,124750.0,120738.0,122647.0,367.93568,45077810.51212,35723
1677369600000,2023-02-26,BTCBRL,120962.0,123400.0,120464.0,122975.0,136.79739,16651936.67648,20465
1677283200000,2023-02-25,BTCBRL,121178.0,121195.0,118851.0,120950.0,161.3855,19401419.48437,22027
1677196800000,2023-02-24,BTCBRL,123571.0,124538.0,119766.0,121182.0,324.59629,39654341.5528,34604
1677110400000,2023-02-23,BTCBRL,125490.0,127404.0,122537.0,123539.0,376.53985,46876160.67246,34847
1677024000000,2023-02-22,BTCBRL,127473.0,127610.0,123004.0,125434.0,331.16139,41324045.73471,36365
1676937600000,2023-02-21,BTCBRL,129090.0,131000.0,125901.0,127515.0,284.80267,36531017.66476,32564
1676851200000,2023-02-20,BTCBRL,126868.0,130468.0,124860.0,129100.0,268.14773,34471266.35409,31333
1676764800000,2023-02-19,BTCBRL,128191.0,130868.0,126559.0,126872.0,240.16603,30817711.35676,24602
1676678400000,2023-02-18,BTCBRL,127750.0,129218.0,126946.0,128191.0,179.04255,22920883.13425,22042
1676592000000,2023-02-17,BTCBRL,122838.0,129846.0,122011.0,127779.0,529.51234,66721693.08041,42129
1676505600000,2023-02-16,BTCBRL,126298.0,131933.0,122808.0,122832.0,828.10452,106363431.79045,62744
1676419200000,2023-02-15,BTCBRL,115705.0,126701.0,115000.0,126306.0,703.78451,85086414.34429,51137
1676332800000,2023-02-14,BTCBRL,113310.0,116376.0,112127.0,115739.0,417.04811,47714788.42867,38268
1676246400000,2023-02-13,BTCBRL,114925.0,115189.0,111325.0,113349.0,382.75501,43347242.10947,35347
1676160000000,2023-02-12,BTCBRL,115007.0,116100.0,113903.0,114920.0,201.4002,23180569.59243,19676
1676073600000,2023-02-11,BTCBRL,113480.0,115280.0,113408.0,115053.0,149.86629,17113213.10583,20642
1675987200000,2023-02-10,BTCBRL,115581.0,116361.0,112861.0,113533.0,406.93916,46695174.63579,35655
1675900800000,2023-02-09,BTCBRL,119875.0,120088.0,115164.0,115581.0,551.73111,65203133.49015,52279
1675814400000,2023-02-08,BTCBRL,120879.0,121494.0,118888.0,119876.0,417.3512,50128859.79808,45602
1675728000000,2023-02-07,BTCBRL,118041.0,121121.0,117933.0,120885.0,429.71505,51459170.69411,44985
1675641600000,2023-02-06,BTCBRL,119192.0,120598.0,117400.0,118034.0,385.89258,45995224.07585,52667
1675555200000,2023-02-05,BTCBRL,120490.0,121030.0,118200.0,119165.0,226.9645,27140940.22668,25633
1675468800000,2023-02-04,BTCBRL,120587.0,121400.0,119876.0,120526.0,156.65955,18911184.75082,21432
1675382400000,2023-02-03,BTCBRL,119438.0,121708.0,118577.0,120569.0,450.46647,54240792.71387,49438
1675296000000,2023-02-02,BTCBRL,120652.0,122846.0,118313.0,119386.0,483.33159,58233197.61442,57471
1675209600000,2023-02-01,BTCBRL,118082.0,120944.0,116904.0,120646.0,349.93928,41446462.98537,38924
1675123200000,2023-01-31,BTCBRL,117321.0,118865.0,116579.0,118082.0,260.7204,30760361.26906,24167
1675036800000,2023-01-30,BTCBRL,121666.0,121894.0,115932.0,117346.0,348.43442,41346870.5538,34198
1674950400000,2023-01-29,BTCBRL,118247.0,122562.0,118050.0,121650.0,272.2697,32797137.6345,32232
1674864000000,2023-01-28,BTCBRL,118580.0,119070.0,117588.0,118250.0,110.51759,13064987.29093,19947
1674777600000,2023-01-27,BTCBRL,117491.0,120435.0,115449.0,118526.0,298.44909,35178952.42425,33060
1674691200000,2023-01-26,BTCBRL,118019.0,119160.0,116994.0,117481.0,282.74078,33357556.69904,30178
1674604800000,2023-01-25,BTCBRL,117247.0,121400.0,114877.0,117936.0,389.44767,45642820.45259,37164
1674518400000,2023-01-24,BTCBRL,119592.0,120670.0,116631.0,117235.0,321.39584,38302280.11738,33268
