Unix,Date,Symbol,Open,High,Low,Close,Volume AXS,Volume BRL,tradecount
1679443200000,2023-03-22,AXSBRL,46.96,46.96,42.97,43.94,6434.51,287416.7503,311
1679356800000,2023-03-21,AXSBRL,46.18,47.24,43.45,46.82,1983.73,91622.1882,272
1679270400000,2023-03-20,AXSBRL,48.41,49.15,45.05,45.79,4265.83,201276.6562,267
1679184000000,2023-03-19,AXSBRL,47.07,51.8,46.15,47.91,6347.04,310303.9726,329
1679097600000,2023-03-18,AXSBRL,47.54,50.0,45.3,46.15,6385.32,304250.0688,363
1679011200000,2023-03-17,AXSBRL,41.95,47.31,41.69,47.12,2301.22,103025.7125,207
1678924800000,2023-03-16,AXSBRL,41.6,43.19,41.1,42.34,1721.52,72194.7167,148
1678838400000,2023-03-15,AXSBRL,45.4,47.9,41.0,41.1,3123.8,135396.258,219
1678752000000,2023-03-14,AXSBRL,43.6,47.8,42.0,45.4,8123.11,360055.05,396
1678665600000,2023-03-13,AXSBRL,40.7,44.2,39.8,43.3,7448.92,313759.884,371
1678579200000,2023-03-12,AXSBRL,37.0,40.8,36.5,40.7,1595.19,60750.56,154
1678492800000,2023-03-11,AXSBRL,38.9,45.6,36.1,37.4,6238.86,240125.93,260
1678406400000,2023-03-10,AXSBRL,38.4,39.2,36.0,38.7,1713.97,65004.588,180
1678320000000,2023-03-09,AXSBRL,41.1,42.3,37.6,38.4,1904.15,76658.87,193
1678233600000,2023-03-08,AXSBRL,45.0,45.2,40.4,40.9,3400.58,145864.144,215
1678147200000,2023-03-07,AXSBRL,46.3,47.0,43.8,45.0,2912.3,131936.571,195
1678060800000,2023-03-06,AXSBRL,46.0,46.5,44.6,46.2,1069.53,48748.845,150
1677974400000,2023-03-05,AXSBRL,46.2,46.9,45.7,45.8,2025.66,93427.555,226
1677888000000,2023-03-04,AXSBRL,48.1,48.6,44.8,46.1,2036.11,96467.181,204
1677801600000,2023-03-03,AXSBRL,50.7,50.9,46.3,47.7,3328.72,158587.974,254
1677715200000,2023-03-02,AXSBRL,52.1,52.1,50.0,50.8,1563.91,79288.951,143
1677628800000,2023-03-01,AXSBRL,50.2,52.5,50.0,52.2,4473.12,232506.266,341
1677542400000,2023-02-28,AXSBRL,51.9,52.4,50.2,50.5,2037.57,103692.781,153
1677456000000,2023-02-27,AXSBRL,52.1,53.2,50.8,52.0,2767.31,143957.741,196
1677369600000,2023-02-26,AXSBRL,51.2,52.5,50.8,52.4,1721.88,89057.08,155
1677283200000,2023-02-25,AXSBRL,52.3,52.9,49.3,51.3,2127.16,109508.012,263
1677196800000,2023-02-24,AXSBRL,54.6,55.4,51.2,52.2,2421.5,127969.339,181
1677110400000,2023-02-23,AXSBRL,55.0,55.9,53.3,54.5,3228.82,175926.045,294
1677024000000,2023-02-22,AXSBRL,56.3,56.3,52.5,54.5,4128.7,222941.233,327
1676937600000,2023-02-21,AXSBRL,58.3,60.3,55.0,56.3,3420.67,195704.165,374
1676851200000,2023-02-20,AXSBRL,57.8,59.2,54.9,58.1,3074.22,177972.372,310
1676764800000,2023-02-19,AXSBRL,56.4,58.1,55.5,57.1,3719.09,210643.887,326
1676678400000,2023-02-18,AXSBRL,55.4,59.0,55.4,56.9,2099.53,120812.767,196
1676592000000,2023-02-17,AXSBRL,53.0,56.0,52.8,55.7,1986.44,108056.982,208
1676505600000,2023-02-16,AXSBRL,56.3,58.0,53.0,53.1,8189.39,462692.653,548
1676419200000,2023-02-15,AXSBRL,51.9,56.2,51.0,55.9,5430.79,290381.517,415
1676332800000,2023-02-14,AXSBRL,50.2,52.1,48.6,52.1,3295.43,166233.07,280
1676246400000,2023-02-13,AXSBRL,52.3,52.7,47.9,50.0,2639.32,131413.999,287
