Unix,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume BRL,tradecount
1653091200000,2022-05-21,ETHBRL,9634.69,9790.65,9518.84,9720.31,841.9962,8169003.423491,5938
1653004800000,2022-05-20,ETHBRL,10008.79,10225.43,9410.31,9617.8,2702.4961,26388662.660485,12511
1652918400000,2022-05-19,ETHBRL,9587.25,10042.96,9523.21,10003.95,2070.591,20318952.73712,7967
1652832000000,2022-05-18,ETHBRL,10373.34,10471.9,9554.15,9587.25,2265.6656,22482968.361041,10508
1652745600000,2022-05-17,ETHBRL,10300.94,10663.88,10033.26,10384.28,1985.3294,20540183.095927,8457
1652659200000,2022-05-16,ETHBRL,10944.02,10944.02,10107.89,10293.34,3007.3311,31126510.371592,10848
1652572800000,2022-05-15,ETHBRL,10503.42,11073.33,10229.49,10952.0,1471.6705,15660424.933614,6818
1652486400000,2022-05-14,ETHBRL,10245.57,10557.69,10000.0,10501.87,2191.7249,22548232.09563,9638
1652400000000,2022-05-13,ETHBRL,10153.64,11084.08,10038.67,10245.57,5150.2479,54975076.026157,22333
1652313600000,2022-05-12,ETHBRL,10802.2,11372.16,8904.0,10140.6,11444.99882,114636779.1424658,47354
1652227200000,2022-05-11,ETHBRL,12135.96,12668.31,10401.08,10807.36,8455.23483,98820287.761701,34398
1652140800000,2022-05-10,ETHBRL,11612.87,12709.29,11482.26,12142.05,4649.24245,56769543.446926,21941
1652054400000,2022-05-09,ETHBRL,12918.05,12966.75,11554.68,11625.45,5748.7713,69995083.628815,24659
1651968000000,2022-05-08,ETHBRL,13498.65,13527.1,12768.06,12906.33,2322.4663,30315304.411443,12165
1651881600000,2022-05-07,ETHBRL,13776.18,13834.73,13267.19,13501.85,1316.056,17949513.934274,8100
1651795200000,2022-05-06,ETHBRL,13909.95,13946.82,13500.0,13765.17,2946.7436,40406986.709414,15008
1651708800000,2022-05-05,ETHBRL,14508.66,14619.99,13607.74,13905.69,3411.6635,47967485.46183,16768
1651622400000,2022-05-04,ETHBRL,13883.87,14650.01,13838.02,14510.12,3167.1263,45436978.725331,13458
1651536000000,2022-05-03,ETHBRL,14507.08,14529.45,13783.05,13883.43,2608.304,36828269.167304,12873
1651449600000,2022-05-02,ETHBRL,14136.93,14646.49,13951.64,14500.34,2689.2685,38351100.126208,13252
1651363200000,2022-05-01,ETHBRL,13689.18,14252.47,13657.87,14142.49,1606.1507,22377417.269796,8734
1651276800000,2022-04-30,ETHBRL,14076.06,14201.38,13640.86,13687.73,1543.8753,21585898.129099,8510
1651190400000,2022-04-29,ETHBRL,14602.71,14646.79,13850.0,14076.06,2675.6617,37881335.967322,12913
1651104000000,2022-04-28,ETHBRL,14410.0,14816.24,14307.0,14600.17,3226.2665,46985123.061056,14532
1651017600000,2022-04-27,ETHBRL,14120.59,14650.56,14075.01,14418.75,2463.8613,35468421.971076,12171
1650931200000,2022-04-26,ETHBRL,14723.24,14849.75,13945.16,14129.45,3075.9601,44462916.952359,15729
1650844800000,2022-04-25,ETHBRL,14116.88,14808.75,13559.0,14715.2,3553.8538,50335577.750204,16146
1650758400000,2022-04-24,ETHBRL,14173.42,14331.9,14080.34,14120.28,1061.961,15086635.504589,5914
1650672000000,2022-04-23,ETHBRL,14298.7,14388.4,14075.1,14174.91,1097.7827,15681338.088111,6338
1650585600000,2022-04-22,ETHBRL,13913.38,14449.93,13846.66,14294.31,2969.0719,42090501.049779,12810
1650499200000,2022-04-21,ETHBRL,14328.22,14798.51,13744.23,13909.92,2140.0719,30716494.394011,10749
1650412800000,2022-04-20,ETHBRL,14570.66,14880.0,14118.17,14331.97,2197.5534,31761409.582409,12500
1650326400000,2022-04-19,ETHBRL,14313.77,14700.0,14173.87,14575.78,1972.5491,28527118.479979,11167
1650240000000,2022-04-18,ETHBRL,14181.08,14380.81,13641.08,14312.76,2423.628,33785262.540959,12859
1650153600000,2022-04-17,ETHBRL,14511.64,14600.02,14155.41,14189.81,1016.6586,14677058.910276,6082
1650067200000,2022-04-16,ETHBRL,14430.08,14630.84,14274.29,14506.35,639.8835,9226296.844509,4988
1649980800000,2022-04-15,ETHBRL,14315.25,14497.0,14201.03,14421.68,845.5995,12135695.123708,5799
1649894400000,2022-04-14,ETHBRL,14747.6,14844.21,14069.05,14320.87,1859.1978,26861922.066357,10359
1649808000000,2022-04-13,ETHBRL,14277.62,14780.0,14095.0,14740.01,2343.5443,33900486.325524,11663
1649721600000,2022-04-12,ETHBRL,14125.55,14521.6,13983.94,14277.63,2879.3165,41011643.915329,14089
1649635200000,2022-04-11,ETHBRL,15195.52,15236.75,13979.19,14132.94,3273.4211,47252634.384933,18654
1649548800000,2022-04-10,ETHBRL,15472.09,15698.91,15160.75,15195.39,956.0367,14774624.893673,7251
1649462400000,2022-04-09,ETHBRL,15151.36,15510.66,15100.0,15469.9,963.726,14715486.956392,7203
