Unix,Date,Symbol,Open,High,Low,Close,Volume FIS,Volume BRL,tradecount
1680393600000,2023-04-02,FISBRL,2.82,2.835,2.688,2.71,49499.6,137440.5282,177
1680307200000,2023-04-01,FISBRL,2.909,2.909,2.786,2.831,22639.9,64239.4165,110
1680220800000,2023-03-31,FISBRL,2.766,2.953,2.713,2.91,52364.3,151605.9901,262
1680134400000,2023-03-30,FISBRL,2.861,2.917,2.701,2.76,45572.5,127572.0335,240
1680048000000,2023-03-29,FISBRL,2.94,3.029,2.828,2.86,44584.0,131069.4285,234
1679961600000,2023-03-28,FISBRL,2.731,2.986,2.601,2.917,92288.0,254945.6929,437
1679875200000,2023-03-27,FISBRL,3.002,3.08,2.65,2.722,52912.7,149405.1453,315
1679788800000,2023-03-26,FISBRL,2.667,3.16,2.667,3.0,134016.4,403449.1406,736
1679702400000,2023-03-25,FISBRL,2.638,2.81,2.638,2.684,33154.5,89062.3605,147
1679616000000,2023-03-24,FISBRL,2.72,2.787,2.479,2.6,22825.1,59975.3715,129
1679529600000,2023-03-23,FISBRL,2.65,2.766,2.614,2.753,30293.8,81318.7266,199
1679443200000,2023-03-22,FISBRL,2.85,2.861,2.561,2.662,65976.9,181160.5509,267
1679356800000,2023-03-21,FISBRL,2.85,2.953,2.776,2.875,21416.8,61383.358,152
1679270400000,2023-03-20,FISBRL,3.03,3.041,2.82,2.85,58466.6,172751.8253,279
1679184000000,2023-03-19,FISBRL,3.058,3.271,2.94,3.01,95638.8,292468.6322,333
1679097600000,2023-03-18,FISBRL,2.983,3.25,2.86,2.952,154685.5,467155.2587,635
1679011200000,2023-03-17,FISBRL,2.866,2.986,2.85,2.985,36970.5,107888.3628,199
1678924800000,2023-03-16,FISBRL,2.779,2.909,2.71,2.813,46942.7,132709.5253,217
1678838400000,2023-03-15,FISBRL,3.0,3.162,2.682,2.722,89207.1,261416.9158,435
1678752000000,2023-03-14,FISBRL,2.879,3.142,2.864,3.01,98479.7,298840.3018,611
1678665600000,2023-03-13,FISBRL,2.7,2.93,2.6,2.879,57091.9,158581.5139,319
1678579200000,2023-03-12,FISBRL,2.314,2.79,2.27,2.68,126925.9,331442.2637,491
1678492800000,2023-03-11,FISBRL,2.464,2.6,2.237,2.287,46090.4,114718.9405,218
1678406400000,2023-03-10,FISBRL,2.56,2.56,2.207,2.417,466239.9,1153303.6527,952
1678320000000,2023-03-09,FISBRL,2.701,2.822,2.516,2.55,77228.0,204707.2444,366
1678233600000,2023-03-08,FISBRL,2.964,3.066,2.703,2.704,55075.6,159841.7988,278
1678147200000,2023-03-07,FISBRL,3.16,3.228,2.907,2.949,52512.0,160017.775,296
1678060800000,2023-03-06,FISBRL,3.236,3.356,3.143,3.167,27157.5,87313.8627,296
1677974400000,2023-03-05,FISBRL,3.157,3.366,3.132,3.2,63317.8,205340.3001,469
1677888000000,2023-03-04,FISBRL,3.283,3.395,3.13,3.15,44503.5,145682.8715,327
1677801600000,2023-03-03,FISBRL,3.71,3.72,3.245,3.356,50842.4,174398.5693,470
1677715200000,2023-03-02,FISBRL,3.959,3.959,3.481,3.689,76015.4,280173.0381,356
1677628800000,2023-03-01,FISBRL,3.8,4.091,3.8,3.852,34004.9,132552.6448,233
1677542400000,2023-02-28,FISBRL,4.171,4.287,3.8,3.8,58574.5,236081.5252,442
1677456000000,2023-02-27,FISBRL,4.17,4.5,3.995,4.171,88610.7,374897.4752,793
1677369600000,2023-02-26,FISBRL,3.767,4.429,3.7,4.144,162563.1,646694.1816,934
1677283200000,2023-02-25,FISBRL,3.519,3.897,3.383,3.825,89891.5,332888.8289,703
1677196800000,2023-02-24,FISBRL,3.77,3.81,3.316,3.519,54587.1,191305.9541,485
1677110400000,2023-02-23,FISBRL,3.835,4.106,3.62,3.779,127503.5,487160.1269,795
1677024000000,2023-02-22,FISBRL,3.493,4.032,3.201,3.911,237427.5,861579.5159,1359
1676937600000,2023-02-21,FISBRL,3.42,3.51,3.2,3.493,145639.0,493027.3662,623
1676851200000,2023-02-20,FISBRL,3.548,3.582,3.308,3.389,74807.7,255562.2239,332
1676764800000,2023-02-19,FISBRL,3.97,4.093,3.401,3.553,99563.9,365731.0451,649
1676678400000,2023-02-18,FISBRL,3.245,4.699,3.139,4.016,306243.4,1121545.03,1753
1676592000000,2023-02-17,FISBRL,2.977,3.377,2.952,3.242,140743.4,451454.2801,472
1676505600000,2023-02-16,FISBRL,3.23,3.671,2.95,2.985,195216.9,636419.9473,606
1676419200000,2023-02-15,FISBRL,2.901,3.24,2.85,3.23,110564.5,339635.4573,312
1676332800000,2023-02-14,FISBRL,2.897,3.028,2.757,2.894,147555.0,431159.9096,495
1676246400000,2023-02-13,FISBRL,3.004,3.086,2.715,2.898,35983.6,101359.8604,253
1676160000000,2023-02-12,FISBRL,3.15,3.291,3.003,3.003,108388.2,345777.2672,364
1676073600000,2023-02-11,FISBRL,3.04,3.3,2.86,3.137,140722.5,438128.06,518
1675987200000,2023-02-10,FISBRL,3.776,4.02,2.985,3.035,143107.2,507162.7801,699
1675900800000,2023-02-09,FISBRL,3.65,4.27,3.4,3.771,452651.7,1745976.5783,1985
1675814400000,2023-02-08,FISBRL,3.807,4.8,3.429,3.59,268500.1,1014535.5052,1130
1675728000000,2023-02-07,FISBRL,3.891,5.248,3.301,3.806,336580.8,1379421.9408,2350
1675641600000,2023-02-06,FISBRL,2.26,4.049,2.25,3.891,488980.8,1587127.3119,2154
1675555200000,2023-02-05,FISBRL,2.267,2.37,2.17,2.26,98548.9,223664.3997,310
1675468800000,2023-02-04,FISBRL,2.225,2.262,2.167,2.24,30596.9,68532.5593,151
1675382400000,2023-02-03,FISBRL,2.165,2.235,2.041,2.226,232904.7,501819.6112,204
1675296000000,2023-02-02,FISBRL,2.217,2.256,2.134,2.134,33070.5,73025.763,147
1675209600000,2023-02-01,FISBRL,2.018,2.239,2.0,2.19,61663.5,128902.9403,243
1675123200000,2023-01-31,FISBRL,2.079,2.099,2.01,2.047,15949.7,32811.1911,98
1675036800000,2023-01-30,FISBRL,2.295,2.295,2.062,2.089,62587.0,135241.2776,288
1674950400000,2023-01-29,FISBRL,2.234,2.327,2.209,2.295,47829.8,109525.1832,231
1674864000000,2023-01-28,FISBRL,2.282,2.34,2.205,2.211,131651.0,299282.7968,260
1674777600000,2023-01-27,FISBRL,2.26,2.293,2.22,2.287,11919.3,27006.7833,85
1674691200000,2023-01-26,FISBRL,2.31,2.39,2.214,2.26,26968.9,62202.2579,130
1674604800000,2023-01-25,FISBRL,2.3,2.349,2.19,2.319,40679.3,92575.3886,208
1674518400000,2023-01-24,FISBRL,2.409,2.654,2.302,2.302,188012.0,465699.1792,575
1674432000000,2023-01-23,FISBRL,2.387,2.409,2.216,2.38,50979.9,118873.2336,208
1674345600000,2023-01-22,FISBRL,2.444,2.444,2.3,2.338,62800.2,150426.8631,286
1674259200000,2023-01-21,FISBRL,2.515,2.589,2.42,2.42,184768.2,459288.6399,630
1674172800000,2023-01-20,FISBRL,2.38,2.545,2.34,2.525,216069.7,527928.7849,733
1674086400000,2023-01-19,FISBRL,2.23,2.4,2.229,2.371,50966.5,119619.4445,148
1674000000000,2023-01-18,FISBRL,2.39,2.637,2.105,2.237,300912.5,729622.7557,937
1673913600000,2023-01-17,FISBRL,2.27,2.472,2.255,2.439,434443.6,1036826.1516,996
1673827200000,2023-01-16,FISBRL,2.391,2.443,2.209,2.332,46495.2,107014.3824,241
1673740800000,2023-01-15,FISBRL,2.429,2.56,2.29,2.391,52718.4,128884.5713,250
