Unix,Date,Symbol,Open,High,Low,Close,Volume WIN,Volume BRL,tradecount
1656374400000,2022-06-28,WINBRL,0.000628,0.000643,0.000595,0.000599,1692153845.0,1048495.72405,16454
1656288000000,2022-06-27,WINBRL,0.000621,0.000669,0.000619,0.000629,1313608426.0,838958.402122,11271
1656201600000,2022-06-26,WINBRL,0.000624,0.000639,0.000617,0.000622,1233201065.0,772773.967868,9665
1656115200000,2022-06-25,WINBRL,0.000618,0.00064,0.000607,0.000623,1258574033.0,780201.135221,10062
1656028800000,2022-06-24,WINBRL,0.000601,0.000626,0.0006,0.000619,1250771516.0,767099.61626,9837
1655942400000,2022-06-23,WINBRL,0.000569,0.000603,0.000567,0.000601,1418952178.0,824937.181745,10014
1655856000000,2022-06-22,WINBRL,0.000585,0.000587,0.000564,0.000568,1508187535.0,864409.130218,9457
1655769600000,2022-06-21,WINBRL,0.000574,0.000608,0.000569,0.000586,1838914484.0,1085338.009804,10598
1655683200000,2022-06-20,WINBRL,0.000569,0.000584,0.000545,0.000573,1922234856.0,1087176.168663,9528
1655596800000,2022-06-19,WINBRL,0.000549,0.000577,0.000531,0.00057,3545211038.0,1949480.380608,7315
1655510400000,2022-06-18,WINBRL,0.000581,0.000593,0.00052,0.000549,5418135595.0,2999578.595539,5789
1655424000000,2022-06-17,WINBRL,0.000552,0.000587,0.000549,0.000581,4043253724.0,2298685.640912,4613
1655337600000,2022-06-16,WINBRL,0.000585,0.000597,0.000546,0.000553,4553331009.0,2589352.702245,5346
1655251200000,2022-06-15,WINBRL,0.00059,0.000594,0.000515,0.000586,5963178501.0,3327924.712747,6449
1655164800000,2022-06-14,WINBRL,0.00062,0.000638,0.000568,0.000591,5485952212.0,3293623.699573,6418
1655078400000,2022-06-13,WINBRL,0.000702,0.000707,0.000591,0.000619,4994167432.0,3151855.170019,6165
1654992000000,2022-06-12,WINBRL,0.00071,0.000726,0.000688,0.000702,3345454353.0,2366476.1379,5048
1654905600000,2022-06-11,WINBRL,0.000733,0.000754,0.000707,0.00071,1740376052.0,1272387.553729,3134
1654819200000,2022-06-10,WINBRL,0.000744,0.00075,0.000727,0.000735,2558807036.0,1890834.94893,4313
1654732800000,2022-06-09,WINBRL,0.000762,0.000776,0.000733,0.000744,2536247552.0,1909159.885349,4405
1654646400000,2022-06-08,WINBRL,0.000743,0.000797,0.000738,0.000763,2544516030.0,1953734.98425,4728
1654560000000,2022-06-07,WINBRL,0.000737,0.000759,0.000714,0.000744,2518640446.0,1865066.20115,4530
1654473600000,2022-06-06,WINBRL,0.000726,0.000758,0.000725,0.000737,1895900300.0,1404099.463879,3157
1654387200000,2022-06-05,WINBRL,0.000725,0.000745,0.000712,0.000726,2739592008.0,1997097.472978,4034
1654300800000,2022-06-04,WINBRL,0.000718,0.000729,0.000692,0.000726,2473939563.0,1770074.84804,4616
1654214400000,2022-06-03,WINBRL,0.000752,0.000761,0.000706,0.00072,1535338106.0,1113359.682261,3993
1654128000000,2022-06-02,WINBRL,0.000739,0.000757,0.000716,0.000751,1588266297.0,1164587.377922,4171
