Unix,Date,Symbol,Open,High,Low,Close,Volume C98,Volume BRL,tradecount
1658707200000,2022-07-25,C98BRL,2.65,2.65,2.33,2.35,21761.1,54954.737,166
1658620800000,2022-07-24,C98BRL,2.73,2.77,2.65,2.65,26968.7,73068.321,111
1658534400000,2022-07-23,C98BRL,2.64,2.79,2.6,2.73,41361.7,111199.401,194
1658448000000,2022-07-22,C98BRL,2.74,2.8,2.59,2.63,40227.4,110462.441,174
1658361600000,2022-07-21,C98BRL,2.78,2.78,2.57,2.74,52979.9,142667.058,261
1658275200000,2022-07-20,C98BRL,2.98,3.08,2.74,2.74,782279.4,2278688.783,386
1658188800000,2022-07-19,C98BRL,2.82,3.15,2.75,2.99,34241.8,100873.458,176
1658102400000,2022-07-18,C98BRL,2.6,2.84,2.6,2.84,35932.1,98457.031,156
1658016000000,2022-07-17,C98BRL,2.61,2.73,2.57,2.61,51475.7,136539.335,128
1657929600000,2022-07-16,C98BRL,2.6,2.62,2.49,2.59,170766.4,437158.781,155
1657843200000,2022-07-15,C98BRL,2.54,2.61,2.5,2.57,34512.0,88361.987,143
1657756800000,2022-07-14,C98BRL,2.49,2.55,2.36,2.53,34183.9,83412.926,104
1657670400000,2022-07-13,C98BRL,2.47,2.55,2.3,2.43,33104.6,78899.039,121
1657584000000,2022-07-12,C98BRL,2.45,2.53,2.42,2.42,13194.4,32411.482,47
1657497600000,2022-07-11,C98BRL,2.6,2.6,2.45,2.45,23168.9,58758.24,124
1657411200000,2022-07-10,C98BRL,2.76,2.76,2.58,2.6,16198.7,42691.331,72
1657324800000,2022-07-09,C98BRL,2.73,2.87,2.73,2.76,38017.6,106316.067,161
1657238400000,2022-07-08,C98BRL,2.79,2.84,2.67,2.7,42812.1,117050.807,173
1657152000000,2022-07-07,C98BRL,2.76,2.9,2.71,2.79,519305.6,1468716.78,307
1657065600000,2022-07-06,C98BRL,2.63,2.8,2.56,2.8,54915.8,149027.328,167
1656979200000,2022-07-05,C98BRL,2.64,2.69,2.51,2.62,34467.6,89428.144,144
1656892800000,2022-07-04,C98BRL,2.54,2.64,2.47,2.64,48875.6,125443.613,162
1656806400000,2022-07-03,C98BRL,2.52,2.61,2.45,2.52,13184.8,33216.466,72
1656720000000,2022-07-02,C98BRL,2.49,2.55,2.44,2.53,6138.6,15120.634,42
1656633600000,2022-07-01,C98BRL,2.48,2.61,2.42,2.47,1648679.9,4193250.699,449
1656547200000,2022-06-30,C98BRL,2.43,2.44,2.25,2.44,42782.2,100449.539,185
1656460800000,2022-06-29,C98BRL,2.52,2.59,2.41,2.43,82327.7,205072.155,112
1656374400000,2022-06-28,C98BRL,2.6,2.67,2.5,2.51,34130.4,87041.964,140
1656288000000,2022-06-27,C98BRL,2.68,2.82,2.56,2.61,43984.6,117466.08,161
1656201600000,2022-06-26,C98BRL,2.83,2.94,2.67,2.67,90605.8,256319.231,235
1656115200000,2022-06-25,C98BRL,2.86,2.94,2.7,2.88,52429.6,149733.619,211
1656028800000,2022-06-24,C98BRL,2.8,2.92,2.7,2.87,41518.9,117782.805,229
1655942400000,2022-06-23,C98BRL,2.81,2.9,2.69,2.82,101919.0,282659.515,393
1655856000000,2022-06-22,C98BRL,2.72,3.09,2.63,2.74,236588.7,668657.082,903
1655769600000,2022-06-21,C98BRL,2.67,2.96,2.63,2.72,177203.1,493676.149,657
1655683200000,2022-06-20,C98BRL,2.52,2.73,2.45,2.68,226408.4,595689.592,730
1655596800000,2022-06-19,C98BRL,2.35,2.58,2.26,2.52,76342.0,184130.255,309
1655510400000,2022-06-18,C98BRL,2.58,2.63,2.21,2.39,1161258.6,2711237.012,838
1655424000000,2022-06-17,C98BRL,2.45,2.65,2.42,2.58,74560.5,189881.135,302
1655337600000,2022-06-16,C98BRL,2.71,2.82,2.37,2.5,2040615.3,5612163.703,589
1655251200000,2022-06-15,C98BRL,2.57,2.73,2.24,2.69,121959.0,296387.482,411
1655164800000,2022-06-14,C98BRL,2.39,2.67,2.2,2.57,109753.4,268459.805,332
1655078400000,2022-06-13,C98BRL,2.72,2.74,2.16,2.31,240178.5,575452.671,865
1654992000000,2022-06-12,C98BRL,3.1,3.12,2.68,2.77,1357830.9,3885179.858,1115
1654905600000,2022-06-11,C98BRL,3.32,3.54,3.0,3.05,130290.2,426276.55,664
1654819200000,2022-06-10,C98BRL,3.52,3.89,3.17,3.31,177931.1,648575.072,995
1654732800000,2022-06-09,C98BRL,3.42,3.61,3.37,3.53,100194.0,349814.023,569
1654646400000,2022-06-08,C98BRL,3.33,3.6,3.31,3.42,122384.7,425308.777,611
1654560000000,2022-06-07,C98BRL,3.44,3.67,3.27,3.37,195562.3,669850.721,1011
1654473600000,2022-06-06,C98BRL,3.06,3.65,3.06,3.44,227465.6,765566.162,1145
1654387200000,2022-06-05,C98BRL,3.03,3.14,2.93,3.07,164527.8,500177.627,745
1654300800000,2022-06-04,C98BRL,2.88,3.06,2.76,2.97,313594.6,931760.14,717
1654214400000,2022-06-03,C98BRL,3.12,3.15,2.8,2.82,116254.3,337230.773,468
1654128000000,2022-06-02,C98BRL,3.07,3.14,2.96,3.13,172909.6,528713.815,732
1654041600000,2022-06-01,C98BRL,3.31,3.5,3.01,3.12,522232.3,1726748.357,910
1653955200000,2022-05-31,C98BRL,3.5,4.13,3.19,3.28,241147.4,865736.422,1475
1653868800000,2022-05-30,C98BRL,2.72,3.6,2.7,3.5,243294.4,763658.102,1181
1653782400000,2022-05-29,C98BRL,2.67,2.74,2.48,2.72,119436.6,313400.568,455
1653696000000,2022-05-28,C98BRL,2.58,2.72,2.53,2.66,138302.6,365777.967,607
1653609600000,2022-05-27,C98BRL,2.87,2.87,2.53,2.59,96397.0,258131.94,437
1653523200000,2022-05-26,C98BRL,3.2,3.37,2.77,2.85,1028890.2,3083968.477,1092
1653436800000,2022-05-25,C98BRL,3.54,3.69,3.11,3.2,1964962.4,6409816.349,1325
1653350400000,2022-05-24,C98BRL,2.98,3.65,2.95,3.53,140040.1,454015.095,921
1653264000000,2022-05-23,C98BRL,2.95,3.41,2.94,3.02,136649.0,436421.446,877
1653177600000,2022-05-22,C98BRL,2.97,3.32,2.72,2.94,80372.2,237543.247,565
1653091200000,2022-05-21,C98BRL,2.37,3.24,2.36,2.95,126533.6,333325.147,677
1653004800000,2022-05-20,C98BRL,2.45,2.52,2.27,2.37,125521.1,300826.271,492
1652918400000,2022-05-19,C98BRL,2.35,2.52,2.25,2.45,62846.0,150746.353,284
1652832000000,2022-05-18,C98BRL,2.71,2.71,2.32,2.32,97043.1,237463.221,252
1652745600000,2022-05-17,C98BRL,2.47,2.67,2.43,2.64,228611.9,593375.46,353
1652659200000,2022-05-16,C98BRL,2.8,2.8,2.44,2.44,5797.9,14784.237,62
1652572800000,2022-05-15,C98BRL,2.64,2.81,2.4,2.8,14192.3,36966.049,137
1652486400000,2022-05-14,C98BRL,2.43,2.72,2.24,2.65,509813.3,1279549.591,401
1652400000000,2022-05-13,C98BRL,2.2,2.9,2.18,2.45,17482.1,44099.552,185
1652313600000,2022-05-12,C98BRL,2.82,2.83,1.85,2.23,1138790.3,2710305.887,457
1652227200000,2022-05-11,C98BRL,4.31,4.33,2.54,2.83,55482.6,177544.005,210
1652140800000,2022-05-10,C98BRL,4.21,4.8,4.07,4.3,29734.6,130067.569,125
1652054400000,2022-05-09,C98BRL,5.34,5.36,4.24,4.24,22007.6,106978.852,155
1651968000000,2022-05-08,C98BRL,5.39,5.45,5.17,5.32,35129.4,186297.702,162
1651881600000,2022-05-07,C98BRL,5.66,5.8,5.29,5.29,4666.2,26128.742,60
1651795200000,2022-05-06,C98BRL,5.66,5.73,5.4,5.66,37531.0,212609.334,117
1651708800000,2022-05-05,C98BRL,6.23,6.29,5.54,5.7,32610.5,199080.078,142
1651622400000,2022-05-04,C98BRL,5.76,6.18,5.75,6.13,8506.9,50002.123,75
1651536000000,2022-05-03,C98BRL,5.94,5.99,5.6,5.76,43734.4,260688.91,149
1651449600000,2022-05-02,C98BRL,5.94,6.09,5.52,5.94,53418.5,314092.183,238
1651363200000,2022-05-01,C98BRL,5.63,6.0,5.5,5.94,303137.8,1753538.601,351
1651276800000,2022-04-30,C98BRL,6.45,6.6,5.34,5.57,427464.3,2660960.614,761
1651190400000,2022-04-29,C98BRL,6.57,7.05,6.3,6.41,123557.7,822285.665,648
1651104000000,2022-04-28,C98BRL,6.49,6.86,6.36,6.62,177212.6,1154319.672,542
1651017600000,2022-04-27,C98BRL,6.59,6.65,6.08,6.5,85355.2,553593.467,334
1650931200000,2022-04-26,C98BRL,6.83,6.92,6.49,6.61,57411.1,384501.785,240
1650844800000,2022-04-25,C98BRL,6.9,6.9,6.34,6.82,44421.0,297663.477,225
1650758400000,2022-04-24,C98BRL,7.1,7.38,6.8,6.99,423727.8,3029753.896,492
1650672000000,2022-04-23,C98BRL,7.31,7.5,7.0,7.19,1554300.8,11337028.758,1176
1650585600000,2022-04-22,C98BRL,6.97,7.52,6.92,7.29,511549.2,3757171.762,505
1650499200000,2022-04-21,C98BRL,7.38,7.54,6.77,6.95,916380.3,6583329.572,864
1650412800000,2022-04-20,C98BRL,7.56,7.64,7.15,7.29,179898.9,1313826.982,295
1650326400000,2022-04-19,C98BRL,7.13,7.75,7.01,7.57,206794.2,1559750.676,505
1650240000000,2022-04-18,C98BRL,7.0,7.16,6.68,7.1,58681.8,398282.895,324
