Unix,Date,Symbol,Open,High,Low,Close,Volume LTC,Volume BRL,tradecount
1691366400000,2023-08-07,LTCBRL,404.9,408.7,391.3,405.0,1512.715,609791.3579,1261
1691280000000,2023-08-06,LTCBRL,408.0,409.5,399.0,405.2,1199.178,486978.6024,847
1691193600000,2023-08-05,LTCBRL,403.6,409.6,399.1,407.6,1154.271,468451.0726,957
1691107200000,2023-08-04,LTCBRL,406.3,412.1,395.7,403.5,2952.614,1197384.256,2546
1691020800000,2023-08-03,LTCBRL,423.5,427.5,397.5,406.3,2745.149,1147025.0942,2793
1690934400000,2023-08-02,LTCBRL,451.0,454.5,417.3,423.4,3300.062,1425585.6251,3117
1690848000000,2023-08-01,LTCBRL,439.4,451.9,420.0,451.4,2532.572,1115778.8199,2555
1690761600000,2023-07-31,LTCBRL,450.1,454.5,434.0,439.3,2270.67,1005204.8305,2252
1690675200000,2023-07-30,LTCBRL,450.7,459.0,436.0,449.9,1765.216,794995.0203,2138
1690588800000,2023-07-29,LTCBRL,436.7,453.0,433.8,450.5,1611.362,711380.4386,1831
1690502400000,2023-07-28,LTCBRL,432.4,439.1,432.4,437.3,1083.987,472002.815,1500
1690416000000,2023-07-27,LTCBRL,432.6,438.5,427.3,432.4,1119.563,484730.7237,1161
1690329600000,2023-07-26,LTCBRL,427.8,435.1,422.1,432.6,1275.261,546075.3533,1301
1690243200000,2023-07-25,LTCBRL,425.3,430.2,423.5,427.9,1028.643,438394.3132,1176
1690156800000,2023-07-24,LTCBRL,449.7,450.6,417.5,425.5,1910.047,816296.4134,1863
1690070400000,2023-07-23,LTCBRL,444.9,451.0,442.0,450.0,559.979,250411.749,720
1689984000000,2023-07-22,LTCBRL,453.0,464.4,441.4,444.2,1152.183,523199.665,1206
1689897600000,2023-07-21,LTCBRL,445.2,455.3,440.7,452.8,1166.173,522742.5582,1086
1689811200000,2023-07-20,LTCBRL,443.4,457.1,441.8,445.7,1540.768,690952.3449,1122
1689724800000,2023-07-19,LTCBRL,442.7,455.0,441.2,444.2,822.206,368081.4161,958
1689638400000,2023-07-18,LTCBRL,445.6,449.2,433.4,442.2,654.083,287981.1567,682
1689552000000,2023-07-17,LTCBRL,447.1,452.5,430.5,446.2,948.133,421556.7069,904
1689465600000,2023-07-16,LTCBRL,459.0,461.8,444.0,447.0,523.072,238469.7139,562
1689379200000,2023-07-15,LTCBRL,460.1,463.4,454.0,458.0,501.163,229606.8194,636
1689292800000,2023-07-14,LTCBRL,488.1,496.9,444.5,460.5,2090.597,990217.4186,1535
1689206400000,2023-07-13,LTCBRL,467.0,501.0,464.2,488.4,2417.567,1181644.4213,2126
1689120000000,2023-07-12,LTCBRL,472.4,476.4,457.6,467.1,1206.487,564195.382,916
1689033600000,2023-07-11,LTCBRL,473.9,481.3,466.7,472.7,1114.157,528802.732,1330
1688947200000,2023-07-10,LTCBRL,467.9,479.1,451.1,473.8,1709.142,793716.5924,1281
1688860800000,2023-07-09,LTCBRL,481.1,484.0,465.0,467.8,714.216,338767.7618,712
